obstacle	finish	combined
-0.45645646	-0.02498941	0.09809810
0.09509510	1.76785714	0.52152152
0.08608609	2.10638298	0.13313313
-1.46346346	2.06250000	0.10050251
-0.69869870	1.90384615	1.11386139
0.07707708	2.25000000	3.02564103
0.10210210	1.98000000	1.92500000
0.11711712	2.41463415	3.02564103
0.10110110	2.10638298	2.88095238
0.10510511	2.13043478	2.92682927
0.02702703	2.22727273	2.92682927
0.09409409	2.08510638	3.02564103
0.14114114	2.13043478	2.48717949
0.13013013	2.15217391	2.88095238
0.03503504	2.41463415	2.97500000
0.15615616	2.17777778	3.02564103
0.17817818	2.25000000	3.43902439
-0.10710711	2.41463415	2.97500000
0.16316316	2.47500000	3.02564103
0.09309309	2.35714286	2.48717949
-0.06006006	2.47500000	3.50000000
0.06406406	2.53846154	1.90000000
0.04004004	2.25000000	2.42500000
-0.07407407	2.47500000	3.43902439
-0.01101101	2.06250000	2.97500000
0.09309309	2.15217391	3.56410256
0.08508509	2.35714286	3.02564103
0.06206206	2.53846154	3.50000000
0.03503504	2.02040816	1.94871795
0.18418418	2.25000000	1.94871795
0.05905906	2.36585366	3.56410256
0.10110110	2.30232558	1.37500000
0.10210210	2.47500000	2.48717949
0.09209209	2.30232558	3.02564103
0.09009009	2.15555556	2.48717949
0.10210210	2.35714286	3.50000000
0.17317317	2.13043478	2.41463415
0.23623624	2.25000000	2.97500000
0.04904905	2.20454545	2.48717949
0.12712713	2.06250000	2.48717949
0.20720721	2.13043478	2.34883721
0.17117117	2.41463415	3.56410256
-0.00300300	2.25000000	3.02564103
-0.02802803	2.33333333	3.02564103
0.05205205	2.30232558	3.02564103
-0.15015015	2.39024390	3.56410256
-0.06606607	2.35714286	3.02564103
0.16516517	2.04255319	2.41463415
0.07607608	2.47500000	3.02564103
0.11011011	2.20000000	2.45000000
0.10810811	2.30232558	2.48717949
0.10410410	2.47500000	2.97500000
0.10210210	2.41463415	3.02564103
0.14714715	2.30232558	1.94871795
0.11211211	2.15217391	3.02564103
0.08208208	2.15217391	3.02564103
0.08608609	2.06250000	2.92682927
0.01901902	2.47500000	2.48717949
0.14514515	2.35714286	1.94871795
0.14114114	2.30232558	3.02564103
0.04904905	2.20000000	3.02564103
0.12512513	2.30232558	1.94871795
0.27027027	2.41463415	3.56410256
0.05705706	2.35714286	3.56410256
0.03203203	2.30232558	2.83720930
0.02502503	1.98000000	3.02564103
0.12212212	2.47500000	3.02564103
0.11111111	2.02040816	3.43902439
0.16216216	2.02040816	3.56410256
0.14114114	2.30232558	1.94871795
0.01901902	2.08510638	2.41463415
0.07107107	2.35714286	3.02564103
0.11111111	2.35714286	3.56410256
0.11311311	2.35714286	2.92682927
-0.02502503	2.17777778	2.48717949
0.01401401	2.35714286	3.02564103
0.10110110	2.25581395	3.32558140
0.09709710	2.35714286	3.50000000
-0.03203203	2.25000000	3.02564103
0.10510511	2.47500000	1.94871795
0.16016016	2.25000000	3.56410256
0.10610611	2.30232558	3.47500000
0.03503504	1.98000000	1.41025641
0.15115115	2.53846154	2.48717949
0.12912913	2.30232558	3.02564103
0.04604605	2.22727273	1.94871795
0.09809810	2.20000000	3.50000000
