obstacle	finish	combined
-0.58058058	0.01158883	-0.34034034
-0.98098098	2.38095238	0.65573770
-0.38038038	2.27272727	2.04081633
-0.64064064	2.27272727	1.56862745
0.00000000	2.38095238	0.97560976
-0.62062062	2.43902439	2.00000000
-1.02102102	2.50000000	1.27659574
-0.34034034	2.22222222	1.25000000
-0.82082082	2.32558140	2.56410256
-0.60060060	2.22222222	1.77777778
-0.64064064	2.27272727	0.85106383
-0.62062062	2.43902439	1.25000000
-0.10010010	2.12765957	1.39534884
-0.12012012	2.43902439	2.32558140
-0.62062062	2.08333333	1.36363636
-0.56056056	2.43902439	0.88888889
-0.54054054	2.43902439	1.33333333
-0.18018018	2.27272727	0.97560976
-0.16016016	2.32558140	1.33333333
-0.58058058	2.50000000	1.46341463
-0.28028028	2.43902439	1.95121951
-0.40040040	2.50000000	2.27272727
-0.22022022	2.32558140	2.12765957
-0.44044044	2.27272727	1.90476190
-0.70070070	2.50000000	1.50000000
-0.52052052	2.27272727	2.27272727
-0.28028028	2.27272727	2.38095238
-0.34034034	2.50000000	1.36363636
-0.32032032	2.50000000	2.50000000
-0.80080080	2.17391304	1.77777778
-0.50050050	2.38095238	2.27272727
-0.44044044	2.27272727	1.90476190
-0.14014014	2.32558140	2.00000000
-0.42042042	2.38095238	1.50000000
-0.28028028	2.43902439	1.81818182
-0.26026026	2.22222222	1.81818182
-0.24024024	2.22222222	2.05128205
-0.26026026	2.43902439	1.33333333
-0.38038038	2.50000000	1.70212766
-0.44044044	2.32558140	1.95121951
-0.50050050	2.50000000	0.97560976
-0.36036036	2.38095238	2.00000000
-0.56056056	2.22222222	1.63265306
-0.18018018	2.43902439	0.83333333
-0.34034034	2.17391304	1.36363636
-0.06006006	2.50000000	1.73913043
-0.16016016	2.27272727	1.81818182
-0.36036036	2.32558140	2.00000000
-0.42042042	2.08333333	2.32558140
-0.26026026	2.56410256	1.77777778
-0.16016016	2.12765957	2.27272727
-0.30030030	2.27272727	0.88888889
-0.24024024	2.50000000	1.90476190
-0.46046046	2.22222222	2.32558140
-0.30030030	2.38095238	1.42857143
-0.52052052	2.32558140	1.86046512
-0.22022022	2.50000000	1.86046512
-0.12012012	2.56410256	1.33333333
-0.18018018	2.43902439	0.93023256
-0.48048048	2.27272727	0.95238095
-0.14014014	2.50000000	1.90476190
-0.30030030	2.43902439	1.86046512
-0.54054054	2.27272727	2.00000000
-0.14014014	2.50000000	1.30434783
-0.44044044	2.22222222	2.38095238
-0.36036036	2.22222222	0.90909091
-0.22022022	2.04081633	1.30434783
-0.10010010	2.43902439	1.90476190
-0.12012012	2.17391304	1.39534884
-0.30030030	2.38095238	0.86956522
-0.30030030	2.38095238	1.39534884
-0.50050050	2.43902439	1.95121951
-0.26026026	2.27272727	2.08333333
-0.16016016	2.08333333	0.86956522
-0.02002002	2.08333333	0.86956522
-0.22022022	2.22222222	1.46341463
-0.54054054	2.12765957	2.56410256
-0.14014014	2.50000000	0.88888889
-0.40040040	2.22222222	1.90476190
-0.20020020	2.32558140	1.27659574
-0.20020020	2.43902439	1.77777778
-0.18018018	2.27272727	1.27659574
-0.14014014	2.32558140	1.33333333
-0.38038038	2.27272727	1.90476190
-0.26026026	2.38095238	0.88888889
-0.32032032	2.22222222	2.22222222
-0.68068068	2.22222222	1.90476190
-0.16016016	2.00000000	1.33333333
-0.10010010	2.43902439	2.22222222
-0.30030030	2.00000000	2.12765957
-0.10010010	2.43902439	1.95121951
-0.46046046	2.50000000	1.00000000
-0.18018018	2.17391304	0.48780488
-0.16016016	2.43902439	1.53846154
-0.48048048	2.43902439	2.00000000
-0.24024024	2.56410256	2.50000000
-0.22022022	2.04081633	2.27272727
-0.24024024	2.04081633	2.27272727
