obstacle	finish	combined
-0.05200520	0.00370722	0.79591837
-0.03550355	1.00000000	0.72500000
-0.02700270	0.95121951	0.87179487
-0.02050205	1.00000000	0.74358974
-0.01100110	1.00000000	0.61538462
-0.02100210	0.97500000	0.87179487
-0.05050505	1.00000000	0.61538462
-0.03000300	1.00000000	0.95121951
-0.03000300	0.95121951	0.87179487
-0.04100410	0.97500000	0.87179487
-0.03100310	1.00000000	0.90697674
-0.05050505	0.97500000	0.85000000
-0.04800480	0.95121951	0.61538462
-0.03550355	1.00000000	0.70731707
-0.05000500	1.00000000	0.60000000
-0.00150015	1.00000000	0.72500000
-0.00100010	0.97500000	0.48717949
-0.03800380	1.00000000	1.00000000
-0.02200220	1.00000000	0.74358974
-0.04800480	1.00000000	0.82926829
-0.08500850	1.00000000	1.00000000
-0.15201520	0.95121951	0.97500000
-0.08850885	1.00000000	1.00000000
-0.05250525	1.00000000	0.74358974
-0.11101110	0.95121951	0.87179487
-0.13901390	1.00000000	1.00000000
-0.16601660	0.92857143	0.87179487
-0.03500350	1.00000000	0.87179487
-0.05350535	0.97500000	0.74358974
-0.10201020	1.00000000	0.87179487
-0.02850285	1.00000000	0.87179487
-0.04600460	1.00000000	0.85000000
-0.04700470	0.97500000	0.82926829
-0.09200920	0.97500000	0.80952381
-0.16551655	1.00000000	0.87179487
-0.18851885	1.00000000	0.74358974
-0.01950195	1.00000000	0.97500000
-0.00150015	1.00000000	0.60000000
-0.00100010	1.00000000	0.97500000
-0.00200020	1.00000000	0.61538462
-0.02750275	1.00000000	0.61538462
-0.09100910	1.00000000	0.87179487
-0.03750375	1.00000000	0.74358974
-0.38853885	1.00000000	0.97500000
-0.00550055	0.95121951	0.72500000
-0.02700270	1.00000000	0.87179487
-0.02850285	1.00000000	0.74358974
-0.07050705	1.00000000	0.48717949
-0.19501950	1.00000000	0.85000000
-0.08800880	1.00000000	0.82926829
-0.12051205	1.00000000	0.74358974
-0.02200220	1.00000000	0.87179487
-0.00400040	0.97500000	1.00000000
-0.00100010	1.00000000	1.00000000
-0.00100010	1.00000000	0.74358974
