combined	obstacle	finish
0.97039704	1.03173596	87.29282928
0.88458846	1.86956522	87.70317032
0.87798780	1.89285714	87.62066207
0.80758076	1.90090090	87.91879188
0.92199220	1.70921986	85.59645965
0.88458846	1.66666667	86.86928693
0.86368637	1.75757576	86.88248825
0.86478648	1.82644628	86.49964996
0.96269627	1.70422535	87.32363236
0.77457746	1.79365079	84.89458946
0.85378538	1.60975610	85.09040904
0.72397240	1.80000000	87.65146515
0.85268527	1.90909091	85.76697670
1.00010001	1.57471264	86.90779078
0.86038604	1.73529412	86.34453445
0.71517152	2.02040816	85.39733973
0.83948395	1.75757576	86.11131113
0.91649165	1.91743119	86.45344534
0.87248725	1.90909091	85.44904490
0.92199220	1.83333333	86.03650365
0.97919792	1.92592593	81.65916592
0.98909891	1.75187970	86.81428143
0.82188219	2.07526882	86.42374237
0.97809781	1.88495575	86.27302730
0.96819682	1.78125000	87.87698770
0.96819682	1.56497175	86.31263126
0.89778978	1.60240964	87.22682268
0.92199220	1.97087379	86.51285129
0.99459946	1.67114094	84.84838484
0.98909891	1.57142857	85.12451245
0.99459946	1.84745763	86.76037604
0.98909891	1.85470085	86.28842884
0.89228923	1.57471264	86.97489749
0.83398340	1.77519380	86.38963896
0.98359836	2.58730159	85.79007901
0.91429143	2.07526882	85.57115712
0.92749275	1.74626866	86.93309331
0.36863686	1.95238095	86.89018902
0.90879088	1.69444444	84.94959496
0.57435744	1.80000000	84.51835184
0.98909891	1.88495575	85.39183918
0.93409341	1.75757576	84.41384138
0.90329033	1.65789474	85.70867087
0.91539154	2.01010101	88.42924292
0.90329033	1.99009901	85.76697670
0.99679968	2.47058824	86.01450145
0.86038604	1.67567568	85.45674567
0.95389539	2.00000000	87.05850585
0.98909891	1.81967213	86.29172917
0.98359836	1.68493151	85.25982598
0.97699770	1.99009901	86.06290629
0.97039704	1.94339623	86.98369837
0.97589759	1.63291139	86.81868187
0.98799880	2.01010101	84.34453445
0.97589759	1.59171598	86.63496350
0.98249825	1.69444444	87.17181718
0.64366437	1.92592593	86.32143214
0.79547955	1.73529412	84.61186119
0.99899990	1.58823529	83.84948495
0.74487449	1.77519380	86.29832983
0.91099110	1.78740157	84.56785679
0.80098010	1.74074074	84.87258726
0.78997900	2.02040816	86.25212521
0.97479748	1.75187970	86.51065107
0.79877988	1.73529412	86.78237824
0.97589759	1.66666667	86.59095910
0.97589759	1.64516129	85.63826383
0.80208021	1.72992701	85.94299430
0.93519352	1.63694268	87.61956196
0.88568857	1.77519380	86.45344534
0.78007801	1.90090090	85.18061806
0.92639264	1.80000000	85.06400640
0.71627163	2.14942529	86.15861586
0.75367537	1.99009901	86.87478748
0.90109011	1.86206897	85.68336834
0.80208021	1.72992701	84.05080508
0.91429143	1.84745763	86.25872587
0.83068307	1.85470085	88.38743874
0.78007801	1.99009901	85.62946295
0.72287229	1.71942446	84.13111311
0.66126613	1.99009901	88.29722972
0.85048505	2.21951220	85.92429243
0.88128813	1.99009901	86.03760376
0.83618362	1.77519380	88.33023302
0.83838384	1.71428571	86.31263126
