obstacle	finish	combined
-0.30753075	0.00603996	0.02857143
-0.25902590	1.00000000	0.23076923
-0.30753075	1.00000000	0.23076923
-0.15401540	1.00000000	0.61538462
-0.13301330	1.00000000	0.23076923
-0.12301230	1.00000000	0.74358974
-0.19551955	0.97500000	0.35897436
-0.15701570	0.97500000	0.48717949
-0.47604760	0.97500000	-0.14634146
-0.01500150	1.00000000	0.74358974
-0.01550155	1.00000000	0.61538462
-0.00700070	1.00000000	0.35897436
-0.00500050	1.00000000	0.61538462
-0.00850085	1.00000000	0.35897436
-0.01300130	1.00000000	0.23076923
-0.00350035	1.00000000	0.61538462
-0.00550055	0.97500000	0.10000000
-0.04800480	0.95121951	0.48717949
-0.06550655	1.00000000	-0.02500000
-0.11451145	1.00000000	0.61538462
-0.11201120	1.00000000	0.22500000
-0.08550855	1.00000000	0.72500000
-0.06650665	0.97500000	0.35897436
-0.13501350	1.00000000	0.87179487
-0.21452145	0.97500000	0.74358974
