obstacle	finish	combined
-0.95909591	0.00861614	-0.19278846
-0.68506851	1.00000000	-1.02000000
-0.36203620	1.00000000	-0.83673469
-0.52605261	1.00000000	-0.02040816
-0.21702170	0.98000000	-1.24489796
-0.01400140	1.00000000	0.18367347
-0.06100610	1.00000000	-0.42857143
-0.40604060	1.00000000	-1.04081633
-0.19101910	1.00000000	-1.65306122
-0.04900490	1.00000000	-0.83673469
-0.09500950	0.98000000	-1.24489796
-0.01800180	1.00000000	-0.63265306
-0.13701370	1.00000000	-0.02040816
-0.05700570	0.96078431	-0.40384615
-0.04500450	0.96078431	-0.22448980
-0.04500450	1.00000000	-0.63265306
-0.04500450	1.00000000	-0.01960784
-0.02200220	1.00000000	-0.83673469
-0.05300530	1.00000000	-0.82000000
-0.11201120	0.98000000	-0.82000000
-0.03600360	0.94230769	-0.77358491
-0.05600560	1.00000000	-0.83673469
-0.09300930	0.98000000	-0.22448980
-0.26602660	1.00000000	-1.04081633
-0.13901390	0.92452830	-0.02040816
-0.04400440	0.96078431	0.38775510
-0.10201020	1.00000000	-0.63265306
-0.27902790	0.98000000	-0.02040816
-0.65306531	1.00000000	-0.63265306
-0.13501350	1.00000000	-0.42857143
-0.15501550	1.00000000	-0.63265306
-0.01900190	0.96078431	-0.42857143
-0.01200120	1.00000000	-1.04081633
-0.01700170	1.00000000	-0.22448980
-0.03300330	1.00000000	-1.19607843
-0.04600460	0.98000000	-0.63265306
-0.04000400	0.98000000	-1.24489796
-0.09300930	1.00000000	-0.83673469
-0.13601360	0.96078431	-0.62000000
-0.12701270	1.00000000	-0.42000000
-0.06300630	1.00000000	-1.24489796
-0.02900290	1.00000000	-0.83673469
-0.02600260	1.00000000	-0.42000000
-0.01600160	0.98000000	0.17647059
-0.02900290	0.96078431	-1.04081633
-0.02100210	1.00000000	-0.63265306
-0.02000200	0.96078431	-0.63265306
-0.03100310	1.00000000	-1.24489796
-0.03300330	0.98000000	-2.46938776
-0.02800280	0.98000000	-0.42857143
-0.01600160	1.00000000	-1.04081633
-0.03100310	1.00000000	-0.63265306
-0.02300230	1.00000000	-0.22448980
-0.01300130	1.00000000	-1.02000000
-0.06000600	0.96078431	-0.22000000
-0.01200120	1.00000000	-1.85714286
-0.02600260	1.00000000	-1.19607843
-0.00900090	1.00000000	-0.39622642
-0.02300230	0.96078431	-0.01960784
-0.00400040	0.96078431	-0.83673469
-0.01000100	1.00000000	-0.82000000
-0.00400040	1.00000000	-1.44897959
-0.01200120	1.00000000	-1.22000000
-0.00200020	1.00000000	-1.24489796
-0.01400140	0.92452830	-0.59615385
-0.01400140	0.98000000	-1.24489796
-0.01100110	1.00000000	-0.42857143
-0.00800080	1.00000000	-1.24489796
-0.00700070	1.00000000	-0.83673469
-0.02300230	0.98000000	-1.04081633
-0.00800080	1.00000000	-0.42000000
-0.03300330	0.98000000	-0.80392157
-0.04100410	1.00000000	-0.22000000
-0.07900790	1.00000000	-1.85714286
-0.04800480	0.98000000	-0.62000000
-0.03700370	1.00000000	-0.63265306
-0.04100410	1.00000000	-1.58823529
-0.57505751	1.00000000	-0.42857143
-0.05200520	1.00000000	-2.26530612
-0.00400040	1.00000000	-1.04081633
-0.00700070	1.00000000	-0.42857143
-0.01000100	0.96078431	-0.83673469
-0.01000100	1.00000000	-0.83673469
-0.00900090	0.98000000	-0.63265306
-0.01000100	1.00000000	-1.85714286
-0.01100110	1.00000000	-1.24489796
-0.02600260	1.00000000	-0.22448980
-0.01600160	0.94230769	0.18367347
-0.02200220	1.00000000	-0.02040816
-0.03800380	1.00000000	-0.22448980
-0.01000100	1.00000000	-0.62000000
-0.07000700	1.00000000	-0.83673469
-0.06000600	1.00000000	-1.58823529
-0.10001000	0.96078431	0.18367347
-0.03100310	1.00000000	-0.42857143
-0.03800380	1.00000000	-1.24489796
-0.05100510	0.98000000	-1.85714286
-0.03100310	0.92452830	-0.22000000
-0.04900490	0.98000000	-1.44897959
-0.04600460	0.96078431	0.18367347
-0.05700570	1.00000000	-1.02000000
-0.05000500	1.00000000	-0.39622642
-0.08300830	0.98000000	-1.24489796
-0.07400740	1.00000000	-0.63265306
-0.04400440	0.94230769	-1.39215686
-0.03000300	0.96078431	-0.83673469
-0.03700370	0.98000000	-1.04081633
-0.21402140	1.00000000	-0.80392157
-0.46204620	1.00000000	-1.55769231
-0.53705371	0.98000000	-0.83673469
-0.33903390	1.00000000	-1.85714286
-0.66906691	1.00000000	-0.42857143
-0.54605461	0.98000000	-1.04081633
-0.39103910	1.00000000	-1.24489796
-0.42004200	1.00000000	-0.82000000
-0.14601460	0.98000000	-0.62000000
-0.03000300	1.00000000	-0.82000000
-0.04900490	1.00000000	-0.41176471
-0.09600960	1.00000000	-1.04081633
-0.07000700	1.00000000	-0.63265306
-0.04300430	0.98000000	-1.22000000
-0.03600360	1.00000000	-1.65306122
-0.08700870	1.00000000	-1.02000000
-0.03100310	1.00000000	-1.65306122
-0.03100310	1.00000000	-0.80392157
-0.04700470	1.00000000	-0.42857143
-0.03900390	1.00000000	-0.60784314
-0.06700670	0.96078431	-0.42857143
-0.06400640	1.00000000	-0.22000000
-0.07700770	0.98000000	-1.19607843
-0.03000300	1.00000000	-1.44897959
-0.03400340	1.00000000	-1.58823529
-0.07300730	1.00000000	-1.00000000
-0.18801880	1.00000000	-1.44897959
-0.31903190	1.00000000	-1.98039216
-0.08300830	1.00000000	-2.06122449
-0.03700370	0.98000000	-1.62000000
-0.06000600	0.96078431	0.18367347
-0.06400640	1.00000000	-0.01960784
-0.08300830	1.00000000	-1.62000000
-0.05900590	1.00000000	-1.04081633
-0.06900690	1.00000000	-0.42000000
-0.04800480	1.00000000	-0.02000000
-0.01700170	1.00000000	-1.04081633
-0.02100210	1.00000000	-0.83673469
-0.01600160	0.94230769	-1.22000000
-0.01600160	1.00000000	0.17647059
-0.02200220	0.96078431	-0.83673469
-0.00600060	1.00000000	-1.19607843
-0.00900090	1.00000000	-1.24489796
-0.00500050	0.96078431	-0.98076923
-0.00800080	1.00000000	-0.62000000
-0.01400140	1.00000000	-1.65306122
-0.02300230	0.98000000	-1.24489796
-0.01300130	1.00000000	-0.42857143
-0.02700270	0.98000000	-1.78431373
-0.00900090	0.98000000	-1.04081633
-0.00700070	1.00000000	-1.04081633
-0.00700070	1.00000000	-1.65306122
-0.01000100	0.94230769	-0.02000000
-0.01000100	1.00000000	-0.63265306
-0.01000100	1.00000000	-2.06122449
-0.01600160	1.00000000	-0.83673469
-0.01100110	0.96078431	-1.22000000
-0.02000200	1.00000000	-0.02040816
0.00000000	0.98000000	-1.24489796
-0.00300030	1.00000000	-0.39622642
-0.01200120	1.00000000	-1.42000000
-0.00600060	1.00000000	-0.22448980
-0.01200120	1.00000000	-0.41176471
-0.03500350	0.98000000	-0.62000000
-0.01900190	1.00000000	-2.06122449
-0.03600360	1.00000000	-0.42857143
-0.02200220	1.00000000	-0.63265306
-0.04400440	1.00000000	-1.44897959
-0.01900190	0.98000000	-0.22448980
-0.04300430	1.00000000	-0.42000000
-0.03500350	0.96078431	-1.22000000
-0.02000200	1.00000000	-1.39215686
-0.04100410	1.00000000	-0.63265306
-0.05900590	1.00000000	-1.39215686
-0.04200420	0.98000000	-0.42857143
-0.01900190	0.98000000	-0.80392157
-0.06700670	1.00000000	-0.63265306
-0.05200520	1.00000000	-0.63265306
-0.01100110	0.98000000	-1.42000000
-0.02200220	1.00000000	-1.44897959
-0.01400140	1.00000000	-1.19607843
-0.01300130	1.00000000	-1.24489796
-0.02100210	0.92452830	-0.80392157
-0.01000100	1.00000000	-0.22448980
-0.00200020	0.98000000	-1.24489796
0.00000000	1.00000000	-0.63265306
-0.01000100	1.00000000	-0.22448980
-0.00300030	1.00000000	-1.02000000
-0.01700170	1.00000000	-0.22448980
-0.01100110	0.98000000	-0.82000000
-0.01700170	0.98000000	-0.83673469
-0.01600160	1.00000000	0.18367347
-0.01800180	1.00000000	-1.24489796
-0.01600160	1.00000000	-1.24489796
-0.00300030	1.00000000	-1.44897959
-0.01200120	0.96078431	0.58000000
-0.00900090	0.96078431	-1.04081633
-0.01300130	1.00000000	-1.22000000
-0.02200220	0.96078431	-0.42857143
-0.01200120	0.98000000	-0.83673469
-0.00800080	0.98000000	-1.44897959
-0.01200120	1.00000000	-0.63265306
-0.00100010	1.00000000	-0.42000000
-0.01100110	1.00000000	-1.39215686
-0.01600160	1.00000000	-0.63265306
-0.01000100	1.00000000	-0.83673469
-0.02800280	1.00000000	-0.42857143
-0.00900090	0.98000000	-0.83673469
-0.00800080	1.00000000	-1.44897959
-0.01700170	1.00000000	-0.80392157
-0.00900090	1.00000000	-1.02000000
-0.01800180	1.00000000	-1.24489796
-0.00900090	1.00000000	-0.83673469
-0.00800080	0.98000000	-1.24489796
-0.03000300	1.00000000	-0.02040816
-0.03700370	1.00000000	-0.63265306
-0.03100310	1.00000000	-0.82000000
-0.03300330	0.98000000	-1.19607843
-0.02600260	1.00000000	-0.83673469
-0.02600260	0.98000000	-0.42857143
-0.03900390	1.00000000	-0.02040816
