obstacle	finish	combined
-0.82708271	0.00568380	-0.02594100
-0.03200320	1.00000000	-3.27758007
-0.02900290	0.98000000	-5.01020408
-0.04600460	1.00000000	-0.06102362
-0.02700270	1.00000000	-0.02040816
-0.03500350	1.00000000	-1.04081633
-0.02400240	1.00000000	-0.41176471
-0.02900290	1.00000000	-1.02000000
-0.03300330	1.00000000	-1.02000000
-0.05300530	0.98000000	-1.44897959
-0.10601060	1.00000000	-1.02000000
-0.23702370	1.00000000	-1.85714286
-0.25502550	0.98000000	-0.63265306
-0.17201720	1.00000000	-0.22448980
-0.15101510	1.00000000	-0.63265306
-0.10801080	1.00000000	-1.04081633
-0.06200620	1.00000000	-1.02000000
-0.08700870	0.94230769	-0.83673469
-0.12401240	1.00000000	-1.44897959
-0.02500250	1.00000000	-1.04081633
-0.02700270	0.96078431	-1.55769231
-0.01700170	1.00000000	0.18367347
-0.02700270	1.00000000	0.58000000
-0.01800180	1.00000000	-1.65306122
-0.01400140	1.00000000	-0.83673469
-0.03800380	1.00000000	-0.63265306
-0.03600360	1.00000000	-0.42000000
-0.00800080	0.98000000	-0.83673469
-0.01700170	0.98000000	-1.55769231
-0.01600160	1.00000000	-1.65306122
-0.03000300	0.98000000	-0.83673469
-0.01400140	1.00000000	-1.24489796
-0.00700070	1.00000000	-0.82000000
-0.01000100	1.00000000	-0.83673469
-0.03100310	0.98000000	-0.63265306
-0.05800580	1.00000000	-1.24489796
-0.09000900	1.00000000	-0.22448980
-0.08300830	1.00000000	-1.44897959
-0.07400740	0.96078431	-0.42857143
-0.08600860	1.00000000	-0.02040816
-0.03400340	0.98000000	-1.42000000
-0.00900090	0.96078431	-1.02000000
-0.00500050	0.96078431	-0.63265306
-0.05300530	1.00000000	-0.63265306
-0.01500150	1.00000000	0.18367347
-0.03200320	1.00000000	-1.36538462
-0.01800180	1.00000000	-0.02040816
-0.01400140	0.98000000	-0.42857143
-0.02900290	1.00000000	-1.24489796
-0.02300230	1.00000000	-0.62000000
-0.02000200	0.94230769	-1.04081633
-0.03100310	1.00000000	-1.58823529
-0.04300430	1.00000000	-1.85714286
-0.01300130	1.00000000	-1.44897959
-0.02900290	0.98000000	-0.22448980
-0.01300130	1.00000000	-0.42857143
-0.01100110	1.00000000	-1.04081633
-0.20102010	0.92452830	-2.17647059
-0.00200020	1.00000000	-1.65306122
-0.02600260	1.00000000	-0.63265306
-0.02400240	1.00000000	-0.83673469
-0.01800180	0.98000000	-0.83673469
-0.01900190	1.00000000	-0.22448980
-0.01800180	1.00000000	-0.63265306
-0.02200220	0.98000000	-0.42857143
-0.01800180	1.00000000	-0.63265306
-0.01400140	1.00000000	-0.60784314
-0.02900290	0.98000000	-1.04081633
-0.02700270	0.98000000	-0.42857143
-0.01300130	1.00000000	-0.42857143
-0.00400040	1.00000000	-1.82000000
-0.01600160	0.98000000	-0.02040816
-0.01700170	1.00000000	-0.63265306
-0.01800180	1.00000000	-0.63265306
-0.01000100	0.98000000	-2.22000000
-0.01000100	1.00000000	-0.63265306
-0.01500150	1.00000000	-0.63265306
-0.01900190	0.98000000	-1.24489796
-0.31003100	1.00000000	0.38775510
-0.41704170	1.00000000	-0.83673469
-0.32003200	1.00000000	-1.65306122
-0.34903490	1.00000000	-0.83673469
-0.24402440	1.00000000	-1.58823529
-0.44904490	1.00000000	-1.98039216
-0.24102410	1.00000000	-0.63265306
-0.28402840	1.00000000	-1.42000000
-0.35203520	0.96078431	-1.04081633
-0.21202120	1.00000000	-1.04081633
-0.35203520	1.00000000	-0.63265306
-0.15101510	1.00000000	-0.42857143
-0.18801880	0.96078431	-0.63265306
-0.22802280	1.00000000	-0.63265306
-0.20802080	1.00000000	-0.02000000
-0.43204320	1.00000000	-0.83673469
-0.22702270	0.98000000	0.59183673
-0.11501150	1.00000000	-1.44897959
-0.24002400	1.00000000	-1.24489796
-0.25702570	0.96078431	-1.22000000
-0.38303830	1.00000000	-0.80392157
-0.04000400	0.98000000	-0.98076923
-0.03700370	1.00000000	-0.83673469
-0.04500450	0.98000000	-0.83673469
-0.07200720	1.00000000	-1.04081633
-0.03900390	1.00000000	-0.42000000
-0.03800380	1.00000000	-1.04081633
-0.02800280	1.00000000	-0.41176471
-0.04700470	1.00000000	-0.02040816
-0.05300530	0.94230769	-1.04081633
-0.02500250	1.00000000	-0.42000000
-0.03700370	1.00000000	-0.22448980
-0.03200320	1.00000000	-0.63265306
-0.03400340	1.00000000	-1.24489796
-0.04400440	1.00000000	-0.83673469
-0.06600660	1.00000000	-1.44897959
-0.03500350	1.00000000	-0.83673469
-0.06300630	1.00000000	-0.83673469
-0.03400340	1.00000000	-1.24489796
-0.03000300	1.00000000	-0.42857143
-0.05500550	1.00000000	-2.02000000
-0.02500250	0.98000000	0.18367347
-0.04300430	0.98000000	-0.62000000
-0.03000300	1.00000000	-0.02040816
-0.04900490	1.00000000	-1.24489796
-0.03400340	1.00000000	-0.42857143
-0.05500550	0.98000000	-0.42857143
-0.10601060	0.96078431	-2.46938776
-0.25302530	0.96078431	-1.62000000
-0.20402040	1.00000000	-0.22448980
-0.20002000	0.98000000	-1.65306122
-0.38403840	1.00000000	-0.63265306
-0.14301430	1.00000000	-1.04081633
-0.33803380	1.00000000	-1.24489796
-0.31603160	1.00000000	-1.02000000
-0.22402240	1.00000000	-0.60784314
