obstacle	finish	combined
-0.77507751	0.01891162	-2.23229614
-0.04500450	1.00000000	-0.20370370
-0.04000400	0.94230769	-3.77595628
-0.11401140	1.00000000	-0.42857143
-0.22302230	1.00000000	-0.62000000
-0.27602760	1.00000000	0.38775510
-0.22502250	0.98000000	-0.63265306
-0.18901890	0.98000000	-0.41176471
-0.38003800	1.00000000	-1.02000000
-0.20702070	0.96078431	-1.65306122
-0.04200420	0.98000000	-0.63265306
-0.03000300	0.96078431	-1.24489796
-0.03600360	1.00000000	-0.83673469
-0.04700470	1.00000000	-0.63265306
-0.02700270	1.00000000	-1.65306122
-0.02700270	1.00000000	-0.42857143
-0.02200220	1.00000000	-0.63265306
-0.00800080	1.00000000	-1.65306122
-0.03300330	1.00000000	-1.85714286
-0.02200220	1.00000000	-0.42000000
-0.01700170	1.00000000	-0.02040816
-0.00700070	1.00000000	0.18367347
-0.02200220	1.00000000	-0.83673469
-0.01300130	1.00000000	-0.78846154
-0.01400140	1.00000000	-1.42000000
-0.01200120	1.00000000	-0.42857143
-0.02000200	0.98000000	-0.22448980
-0.02400240	1.00000000	-0.42857143
-0.02000200	0.94230769	-0.42857143
-0.03200320	1.00000000	-0.02040816
-0.26202620	1.00000000	-1.39215686
-0.15701570	1.00000000	-1.44897959
-0.19001900	1.00000000	-1.24489796
-0.28902890	0.98000000	-1.04081633
-0.23302330	1.00000000	-1.22000000
-0.33803380	0.98000000	-1.04081633
-0.24402440	0.98000000	-0.42000000
-0.18701870	1.00000000	-0.21568627
-0.30003000	1.00000000	-1.44897959
-0.14001400	1.00000000	-0.83673469
-0.60006001	1.00000000	-1.24489796
-0.11401140	0.98000000	-1.04081633
-0.35703570	1.00000000	-0.82000000
-0.24702470	0.96078431	-1.42000000
-0.27002700	1.00000000	-0.22000000
-0.21902190	1.00000000	-0.63265306
-0.06500650	0.96078431	-0.22000000
-0.30603060	0.96078431	-1.24489796
-0.06800680	1.00000000	-1.22000000
-0.03300330	1.00000000	-1.44897959
-0.04200420	1.00000000	0.18367347
-0.02100210	1.00000000	-1.24489796
-0.02800280	1.00000000	-1.44897959
-0.03100310	1.00000000	-1.04081633
-0.03900390	1.00000000	-0.41176471
-0.02900290	1.00000000	-0.22448980
-0.03400340	1.00000000	-1.19607843
-0.03700370	0.98000000	-1.39215686
-0.04600460	1.00000000	-0.83673469
-0.03900390	1.00000000	-0.40384615
-0.03400340	0.98000000	-0.42857143
-0.05500550	1.00000000	-0.02040816
-0.06000600	0.92452830	-0.62000000
-0.03100310	1.00000000	-1.19607843
-0.02400240	0.98000000	-1.04081633
-0.01100110	1.00000000	-0.42857143
-0.03500350	1.00000000	-1.78431373
-0.03900390	1.00000000	-0.63265306
-0.16301630	1.00000000	-1.04081633
-0.51305131	1.00000000	-1.85714286
-0.29902990	1.00000000	-1.24489796
-0.32203220	0.98000000	-1.78431373
-0.65406541	1.00000000	-0.42857143
-0.57705771	0.92452830	-0.83673469
-0.15601560	1.00000000	-1.24489796
-0.02500250	1.00000000	-1.24489796
-0.02600260	1.00000000	-1.02000000
-0.03300330	0.98000000	-1.02000000
-0.02900290	1.00000000	-0.60784314
-0.03500350	0.98000000	-1.04081633
-0.03300330	0.98000000	-0.63265306
-0.05600560	1.00000000	-0.63265306
-0.03300330	1.00000000	-1.04081633
-0.04000400	1.00000000	-1.22000000
-0.03100310	1.00000000	-1.02000000
-0.03400340	1.00000000	-0.42857143
-0.04400440	1.00000000	-0.41176471
-0.03000300	0.96078431	0.18367347
-0.04900490	0.98000000	-0.83673469
-0.05000500	0.98000000	-1.65306122
-0.03600360	1.00000000	-0.42000000
-0.05000500	0.98000000	-1.04081633
-0.03500350	1.00000000	-1.24489796
-0.03300330	0.94230769	-0.82000000
-0.03400340	1.00000000	-0.83673469
-0.03000300	0.98000000	-1.04081633
-0.02700270	1.00000000	-0.01960784
