obstacle	finish	combined
-0.53105311	0.00960219	-0.06334193
-0.06000600	1.00000000	-2.61702128
-0.03200320	1.00000000	0.22619048
-0.02400240	0.96078431	0.35802469
-0.00500050	1.00000000	-0.02000200
-0.01800180	1.00000000	-0.12525232
-0.03500350	1.00000000	-0.00796662
-0.01900190	0.98000000	-0.80530973
-0.64406441	0.96078431	-0.75925926
-0.06600660	1.00000000	0.16363636
-0.02800280	1.00000000	-0.34426230
-0.02700270	1.00000000	-0.59615385
-0.02400240	0.98000000	-0.22000000
-0.03400340	0.98000000	-0.01960784
-0.02200220	0.96078431	-0.53448276
-0.02000200	1.00000000	-0.35000000
-0.02500250	1.00000000	-0.57407407
-0.03400340	0.96078431	-0.20754717
-0.02100210	1.00000000	0.16981132
-0.04000400	0.98000000	-0.01149425
-0.09000900	1.00000000	-1.85000000
-0.04800480	1.00000000	-0.31343284
-0.01500150	1.00000000	-4.64766839
-0.03100310	0.98000000	-0.03703704
-0.03500350	0.98000000	-0.01562500
-0.03500350	1.00000000	-0.21925134
-0.01900190	0.98000000	-0.10991957
-0.05200520	1.00000000	-0.76794258
-0.01800180	1.00000000	-0.06666667
-0.02200220	1.00000000	-1.00366748
-0.01500150	1.00000000	-0.14963504
-0.01500150	0.98000000	-1.99734043
-0.01600160	1.00000000	-0.20370370
-0.02100210	0.94230769	-0.55357143
-0.02500250	1.00000000	-2.53356890
-0.02200220	1.00000000	-0.06441718
-0.03300330	0.96078431	-0.06904232
-0.03700370	1.00000000	-1.00000000
-0.21802180	1.00000000	-0.22000000
-0.06900690	1.00000000	-0.55357143
-0.14401440	0.98000000	-0.42000000
-0.16101610	1.00000000	-1.17307692
-0.45704570	0.96078431	-0.82000000
-0.21902190	1.00000000	-0.21153846
-0.09100910	1.00000000	-0.62000000
-0.06500650	0.96078431	-0.42857143
-0.04200420	1.00000000	-0.22448980
-0.04100410	0.98000000	-1.02000000
-0.06400640	1.00000000	-0.83673469
-0.04800480	1.00000000	-0.63265306
-0.03000300	1.00000000	-0.80392157
-0.05200520	0.96078431	-0.63265306
-0.03100310	1.00000000	-0.60784314
-0.03300330	1.00000000	-1.04081633
-0.04400440	1.00000000	-0.22448980
-0.03800380	0.98000000	-1.65306122
-0.04000400	1.00000000	-1.04081633
-0.05900590	1.00000000	-0.42857143
-0.04500450	0.98000000	-1.22000000
-0.03000300	1.00000000	-0.83673469
-0.03400340	0.98000000	0.18367347
-0.04200420	1.00000000	-0.83673469
-0.03300330	0.98000000	-1.71698113
-0.03400340	1.00000000	-1.04081633
-0.06100610	0.98000000	-1.04081633
-0.07800780	1.00000000	-0.82000000
-0.11301130	0.98000000	-0.80392157
-0.03200320	1.00000000	-0.22448980
-0.24802480	1.00000000	-0.63265306
-0.29002900	1.00000000	-1.22000000
-0.21802180	0.98000000	-1.62000000
-0.20802080	1.00000000	-0.83673469
-0.54505451	0.96078431	-0.42857143
-0.50405041	0.98000000	-0.42000000
-0.58105811	1.00000000	-0.42857143
-0.37903790	0.90740741	-0.63265306
-0.16601660	1.00000000	-0.63265306
-0.43204320	0.92452830	-1.24489796
-0.80108011	1.00000000	-0.83673469
-0.43904390	0.96078431	-1.04081633
-0.33903390	0.98000000	-1.44897959
-0.45704570	1.00000000	-1.04081633
-0.92309231	0.98000000	-0.63265306
-0.31503150	0.96078431	-0.83673469
-0.21302130	0.96078431	-1.22000000
-0.50605061	1.00000000	-0.02040816
-0.34003400	0.96078431	-1.04081633
-0.21902190	1.00000000	-1.15094340
-0.25202520	0.98000000	-0.63265306
-0.07300730	1.00000000	-0.02040816
-0.16601660	1.00000000	-0.01923077
-0.27502750	1.00000000	-1.78431373
-0.02300230	0.96078431	-0.02040816
-0.02800280	1.00000000	-0.42857143
-0.01400140	1.00000000	-0.42857143
-0.04000400	0.90740741	-1.02000000
-0.01800180	1.00000000	-0.83673469
-0.01800180	0.98000000	0.18367347
-0.01700170	0.98000000	-1.22000000
-0.01500150	0.94230769	-1.04081633
-0.01500150	1.00000000	-0.83673469
-0.02700270	1.00000000	-0.41176471
-0.01500150	1.00000000	0.18000000
-0.01200120	1.00000000	-0.83673469
-0.03700370	1.00000000	-0.42857143
-0.03600360	0.98000000	-0.63265306
-0.00800080	1.00000000	-0.80392157
-0.00800080	0.94230769	-1.42000000
-0.01500150	0.98000000	-0.22000000
-0.00700070	0.98000000	-0.42857143
-0.12501250	1.00000000	-0.21153846
-0.56905691	1.00000000	-1.24489796
-0.25602560	1.00000000	-0.62000000
-0.28302830	1.00000000	-0.63265306
-0.29702970	0.96078431	-0.63265306
-0.25802580	1.00000000	-0.83673469
-0.35003500	1.00000000	0.38775510
-0.21102110	1.00000000	-0.01960784
-0.24202420	0.96078431	-0.42857143
-0.29502950	1.00000000	-0.02040816
-0.14001400	1.00000000	-0.63265306
-0.30203020	1.00000000	-0.63265306
-0.03800380	0.98000000	-2.26530612
-0.20502050	0.96078431	-1.65306122
-0.12301230	1.00000000	-0.42857143
-0.22902290	1.00000000	-0.41176471
-0.13301330	1.00000000	-0.01960784
-0.04900490	1.00000000	-1.44897959
-0.03000300	1.00000000	-2.17647059
-0.02300230	1.00000000	-0.83673469
-0.02300230	1.00000000	-0.80392157
-0.02800280	1.00000000	-0.83673469
-0.04000400	1.00000000	-0.80392157
-0.03700370	0.94230769	-0.02040816
-0.02100210	1.00000000	-0.42857143
-0.02600260	1.00000000	-0.83673469
-0.02500250	1.00000000	-0.63265306
-0.04100410	1.00000000	-0.42857143
-0.02400240	1.00000000	-0.63265306
-0.03800380	1.00000000	-0.83673469
-0.02100210	0.96078431	-0.42857143
-0.04000400	1.00000000	-0.83673469
-0.02900290	1.00000000	-1.04081633
-0.02700270	1.00000000	-1.24489796
-0.01300130	1.00000000	-1.24489796
-0.03100310	0.98000000	-0.02040816
-0.01000100	1.00000000	-1.02000000
-0.00700070	1.00000000	-2.06122449
-0.01400140	1.00000000	-0.22448980
-0.03400340	1.00000000	-1.44897959
-0.04900490	0.98000000	-0.62000000
-0.02800280	1.00000000	-1.65306122
-0.02500250	0.98000000	-1.85714286
-0.17501750	0.98000000	-1.44897959
-0.39803980	1.00000000	-0.42000000
-0.27502750	0.96078431	-0.22448980
-0.16001600	1.00000000	-0.42857143
-0.36003600	1.00000000	-0.63265306
-0.10501050	1.00000000	-0.42857143
-0.09900990	1.00000000	-0.83673469
-0.27302730	1.00000000	-1.44897959
-0.07200720	1.00000000	-0.41176471
-0.16501650	1.00000000	0.18367347
-0.03700370	1.00000000	-0.42857143
-0.02200220	1.00000000	-0.63265306
-0.02500250	0.94230769	-1.04081633
-0.03200320	0.94230769	-1.04081633
-0.03800380	1.00000000	-0.01960784
-0.05200520	1.00000000	-0.42857143
-0.01800180	1.00000000	-0.63265306
-0.03600360	0.96078431	-1.02000000
-0.04700470	0.98000000	-0.42857143
-0.03400340	1.00000000	-0.62000000
-0.02300230	1.00000000	-0.60784314
-0.03100310	1.00000000	-0.83673469
-0.03200320	0.96078431	-0.83673469
-0.03700370	1.00000000	-0.63265306
-0.03800380	0.98000000	-0.42857143
-0.02300230	0.96078431	-0.80392157
-0.02400240	0.96078431	-0.60784314
-0.02900290	1.00000000	-1.00000000
-0.03600360	1.00000000	-0.63265306
-0.03800380	0.96078431	-1.82000000
-0.04200420	1.00000000	-0.63265306
-0.22602260	0.98000000	-0.63265306
-0.16201620	1.00000000	-0.20754717
-0.07600760	1.00000000	-0.41176471
-0.26102610	1.00000000	-0.42857143
-0.11901190	0.94230769	-0.42857143
-0.23402340	0.98000000	-0.83673469
-0.12201220	1.00000000	0.18367347
-0.24002400	0.96078431	-0.42857143
-0.02700270	1.00000000	-0.63265306
-0.03200320	0.92452830	-0.60784314
-0.01400140	1.00000000	-0.42857143
-0.03700370	1.00000000	-0.63265306
-0.01500150	0.92452830	0.18367347
-0.02300230	1.00000000	-0.41176471
-0.02600260	1.00000000	-0.22000000
-0.50705071	1.00000000	-1.24489796
-0.02900290	1.00000000	-1.04081633
-0.05800580	1.00000000	-0.62000000
-0.27702770	1.00000000	-0.42857143
-0.04300430	1.00000000	-1.65306122
-0.13601360	1.00000000	-2.17647059
-0.20602060	0.98000000	-0.02040816
-0.31003100	1.00000000	-1.39215686
-0.17501750	1.00000000	-1.04081633
-0.01700170	1.00000000	-0.22448980
-0.00900090	1.00000000	-0.22448980
-0.01200120	1.00000000	-0.83673469
-0.01900190	0.98000000	-0.63265306
-0.00600060	1.00000000	-0.42857143
-0.03600360	1.00000000	-1.19607843
-0.00800080	1.00000000	-0.42857143
-0.00600060	1.00000000	-1.24489796
-0.01100110	0.96078431	-0.02040816
-0.00300030	0.98000000	-0.02000000
-0.02800280	1.00000000	-1.36538462
-0.00300030	1.00000000	-0.82000000
-0.00200020	1.00000000	-0.83673469
-0.01800180	1.00000000	-0.22448980
-0.00800080	1.00000000	-1.24489796
-0.01300130	1.00000000	-1.04081633
-0.03100310	0.92452830	-1.85714286
-0.00900090	0.96078431	-0.62000000
-0.33003300	1.00000000	-0.63265306
-0.13001300	1.00000000	-0.22448980
-0.10001000	0.98000000	-0.21568627
-0.10701070	0.98000000	-0.63265306
