obstacle	finish	combined
-0.32032032	0.00653420	-0.12012012
-0.33033033	0.40833333	-0.21875000
-0.17017017	0.50515464	0.39726027
-0.28028028	0.49000000	0.35365854
-0.14014014	0.49494949	-0.14864865
-0.33033033	0.61250000	0.19191919
-0.22022022	0.53260870	0.32584270
-0.25025025	0.43750000	0.20879121
-0.42042042	0.41525424	-0.20792079
-0.20020020	0.46226415	0.22619048
-0.25025025	0.42241379	-0.28971963
-0.33033033	0.51578947	-0.01098901
-0.20020020	0.44144144	-0.01041667
-0.20020020	0.39516129	-0.29496403
-0.23023023	0.63636364	0.19000000
-0.14014014	0.55681818	-0.12643678
-0.10010010	0.43750000	-0.01315789
-0.31031031	0.55681818	-0.01234568
-0.14014014	0.50000000	-0.10091743
-0.15015015	0.52688172	0.51315789
-0.04004004	0.51041667	-0.00806452
-0.26026026	0.59036145	0.33913043
-0.18018018	0.48039216	-0.01250000
-0.24024024	0.53846154	0.22093023
-0.09009009	0.52688172	-0.18918919
-0.24024024	0.70000000	0.55056180
-0.06006006	0.41525424	0.18269231
-0.27027027	0.59036145	-0.01000000
-0.17017017	0.66216216	-0.13580247
-0.18018018	0.49000000	0.21348315
-0.31031031	0.40495868	0.25333333
-0.10010010	0.50515464	0.28431373
-0.05005005	0.34751773	-0.01204819
-0.05005005	0.59036145	-0.01075269
-0.09009009	0.51041667	-0.53684211
-0.23023023	0.67123288	-0.08661417
-0.44044044	0.59036145	0.28431373
-0.17017017	0.42241379	0.18269231
-0.26026026	0.52688172	0.37500000
-0.24024024	0.57647059	-0.01204819
-0.20020020	0.41525424	0.08653846
-0.12012012	0.41525424	0.28431373
-0.18018018	0.49494949	0.08108108
-0.17017017	0.44545455	0.26363636
-0.28028028	0.55681818	-0.11702128
-0.31031031	0.53260870	0.29292929
-0.30030030	0.48514851	0.67123288
-0.15015015	0.50000000	0.44318182
-0.07007007	0.44954128	0.27102804
-0.31031031	0.51578947	0.20212766
-0.24024024	0.55681818	-0.00970874
-0.20020020	0.62820513	0.08737864
-0.18018018	0.50515464	-0.00952381
-0.17017017	0.44144144	0.30208333
-0.26026026	0.43750000	-0.11956522
-0.11011011	0.54444444	-0.42708333
-0.27027027	0.60493827	0.46428571
-0.20020020	0.59756098	0.34523810
-0.24024024	0.51041667	0.14728682
-0.26026026	0.59756098	-0.11827957
-0.34034034	0.49494949	-0.01041667
-0.22022022	0.42608696	0.28155340
-0.26026026	0.59036145	0.27884615
-0.36036036	0.56976744	0.10000000
-0.29029029	0.57647059	0.18627451
-0.07007007	0.54444444	0.50000000
-0.26026026	0.42241379	-0.00961538
-0.71071071	0.52688172	0.19000000
-0.19019019	0.51578947	0.56976744
-0.26026026	0.49494949	0.17117117
-0.05005005	0.58333333	-0.53246753
-0.13013013	0.46226415	0.08910891
-0.35035035	0.50515464	-0.17796610
-0.46046046	0.54444444	0.37142857
-0.33033033	0.51578947	0.22093023
-0.22022022	0.44545455	0.22093023
-0.17017017	0.62820513	-0.09565217
-0.19019019	0.49494949	0.09375000
-0.18018018	0.51041667	0.08411215
-0.05005005	0.48039216	-0.12500000
-0.11011011	0.44954128	-0.56481481
-0.08008008	0.50000000	0.54444444
-0.15015015	0.49000000	0.08256881
0.00000000	0.44144144	0.26126126
-0.03003003	0.50000000	-0.11000000
0.00000000	0.53260870	0.35779817
-0.01001001	0.48514851	0.27619048
-0.62062062	0.69014085	0.10465116
-0.34034034	0.41525424	0.20212766
-0.28028028	0.64473684	0.35766423
-0.05005005	0.49000000	-0.35344828
-0.06006006	0.62025316	-0.01250000
-0.21021021	0.45370370	0.26027397
-0.11011011	0.51578947	0.37864078
-0.28028028	0.65333333	0.11688312
-0.21021021	0.62025316	0.08823529
-0.20020020	0.53846154	0.50000000
-0.03003003	0.47572816	0.38235294
-0.26026026	0.57647059	0.26605505
-0.21021021	0.60493827	-0.00925926
-0.09009009	0.52688172	0.18269231
-0.20020020	1.00000000	0.59183673
-0.27027027	1.00000000	-0.02040816
-0.42042042	1.00000000	0.59183673
-0.07007007	1.00000000	0.59183673
-0.07007007	1.00000000	1.00000000
0.00000000	1.00000000	0.38775510
0.00000000	1.00000000	1.00000000
0.00000000	1.00000000	0.59183673
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.38775510
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.59183673
-0.05005005	1.00000000	0.18367347
-0.03003003	1.00000000	1.00000000
0.00000000	1.00000000	0.79591837
-0.06006006	1.00000000	0.79591837
0.00000000	1.00000000	0.79591837
-0.02002002	1.00000000	0.79591837
-0.04004004	1.00000000	0.59183673
0.00000000	1.00000000	0.59183673
-0.02002002	1.00000000	0.59183673
-0.01001001	1.00000000	0.79591837
-0.01001001	1.00000000	0.79591837
-0.01001001	1.00000000	0.38775510
0.00000000	1.00000000	0.59183673
0.00000000	1.00000000	0.59183673
-0.02002002	1.00000000	0.18367347
-0.01001001	1.00000000	0.18367347
0.00000000	1.00000000	1.00000000
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.38775510
0.00000000	1.00000000	1.00000000
-0.02002002	1.00000000	0.59183673
0.00000000	1.00000000	0.59183673
0.00000000	1.00000000	0.59183673
0.00000000	1.00000000	0.59183673
0.00000000	1.00000000	0.59183673
0.00000000	1.00000000	0.59183673
0.00000000	1.00000000	0.59183673
-0.04004004	1.00000000	0.38775510
0.00000000	1.00000000	0.59183673
0.00000000	1.00000000	0.79591837
-0.01001001	1.00000000	1.00000000
-0.01001001	1.00000000	0.59183673
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.18367347
0.00000000	1.00000000	0.18367347
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.38775510
0.00000000	1.00000000	1.00000000
0.00000000	1.00000000	0.18367347
0.00000000	1.00000000	0.59183673
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.18367347
0.00000000	1.00000000	0.18367347
-0.01001001	1.00000000	-0.02040816
0.00000000	1.00000000	0.59183673
