obstacle	finish	combined
-0.22022022	0.00579333	0.55714286
-0.19019019	0.42241379	0.46987952
-0.15015015	0.54444444	-0.26250000
-0.11011011	0.48039216	0.24675325
-0.12012012	0.45794393	0.35802469
-0.38038038	0.42241379	-0.40476190
-0.12012012	0.45370370	0.26851852
-0.15015015	0.56976744	0.27102804
-0.23023023	0.53846154	-0.01162791
-0.17017017	0.48039216	-0.00900901
-0.30030030	0.38888889	0.17592593
-0.26026026	0.65333333	0.08823529
-0.25025025	0.50000000	0.16814159
-0.30030030	0.40495868	-0.01098901
-0.28028028	0.56321839	0.21111111
-0.07007007	0.52127660	0.15966387
-0.48048048	0.61250000	-0.09166667
-0.16016016	0.43750000	0.23170732
-0.18018018	0.37984496	0.08737864
-0.26026026	0.37121212	0.17757009
-0.10010010	0.55056180	-0.20388350
-0.32032032	0.49000000	-0.10000000
-0.08008008	0.45370370	0.45348837
-0.29029029	0.49000000	0.45794393
-0.25025025	0.47572816	0.28155340
-0.06006006	0.50000000	0.09000000
-0.06006006	0.57647059	0.07964602
-0.18018018	0.61250000	0.23387097
-0.24024024	0.52688172	0.08411215
-0.25025025	0.59756098	-0.32291667
-0.23023023	0.56976744	-0.23846154
-0.12012012	0.41880342	0.39795918
-0.15015015	0.52688172	-0.00800000
-0.20020020	0.55056180	0.43333333
-1.08108108	0.44545455	-0.28971963
-0.18018018	0.53260870	-0.01052632
-0.16016016	0.43362832	-0.00892857
-0.37037037	0.61250000	-0.01219512
-0.14014014	0.46666667	0.22891566
-0.15015015	0.44545455	0.10227273
-0.17017017	0.56321839	0.37662338
-0.24024024	0.49000000	-0.11702128
-0.05005005	0.55681818	-0.00740741
-0.10010010	0.47115385	-0.01123596
-0.27027027	0.45370370	0.38235294
-0.17017017	0.61250000	0.09473684
-0.12012012	0.62025316	0.39393939
-0.10010010	0.59036145	0.36111111
-0.13013013	0.67123288	-0.09734513
-0.39039039	0.44144144	0.08411215
-0.39039039	0.55681818	0.09090909
-0.14014014	0.59036145	0.08910891
-0.24024024	0.56321839	0.38157895
-0.13013013	0.55056180	-0.19444444
-0.28028028	0.56976744	0.39795918
-0.21021021	0.48514851	0.18446602
-0.25025025	0.52127660	0.47572816
-0.08008008	0.42982456	0.41489362
-0.17017017	0.53260870	-0.19626168
-0.08008008	0.58333333	-0.14285714
-0.34034034	0.59756098	0.32773109
-0.28028028	0.45794393	0.26851852
-0.14014014	0.42982456	0.11688312
-0.13013013	0.44144144	-0.28440367
-0.29029029	0.47115385	-0.11578947
-0.15015015	0.50515464	0.09375000
-0.17017017	0.49000000	0.31521739
-0.21021021	0.47115385	0.09183673
-0.36036036	0.66216216	-0.25203252
-0.09009009	0.48039216	-0.00719424
-0.82082082	0.51578947	-0.36936937
-0.23023023	0.52688172	0.16521739
-0.36036036	0.54444444	-0.00970874
-0.32032032	0.42608696	-0.01136364
-0.13013013	0.52127660	0.10112360
-0.31031031	0.56321839	0.31182796
-0.30030030	0.66216216	0.21348315
-0.90090090	0.49000000	0.36250000
-0.09009009	0.49494949	0.19587629
-0.23023023	0.53260870	0.28431373
-0.05005005	0.51041667	0.21590909
-0.23023023	0.50000000	-0.09322034
-0.36036036	0.47115385	0.28712871
-0.17017017	0.65333333	0.22093023
-0.31031031	0.53260870	-0.13414634
-0.21021021	0.40833333	0.33333333
-0.19019019	0.44954128	0.22093023
-0.09009009	0.41525424	0.30232558
-0.27027027	0.48039216	0.09183673
-0.14014014	0.56321839	-0.33695652
-0.22022022	0.45794393	0.48750000
-0.41041041	0.53846154	0.45794393
-0.31031031	0.47572816	0.09278351
-0.50050050	0.55056180	-0.27678571
-0.18018018	0.70000000	-0.12790698
-0.24024024	0.59756098	0.20000000
-0.18018018	0.48039216	0.10975610
-0.16016016	0.45794393	0.17592593
-0.26026026	0.49494949	0.27102804
-0.18018018	0.46666667	-0.10091743
-0.28028028	0.39837398	0.09782609
-0.08008008	1.00000000	1.00000000
-0.04004004	1.00000000	0.79591837
-0.01001001	1.00000000	0.79591837
-0.07007007	1.00000000	0.79591837
-0.03003003	1.00000000	0.79591837
-0.18018018	1.00000000	1.00000000
-0.14014014	1.00000000	0.79591837
-0.18018018	1.00000000	0.18367347
-0.04004004	1.00000000	0.79591837
-0.12012012	1.00000000	0.79591837
-0.22022022	1.00000000	0.79591837
-0.31031031	1.00000000	0.59183673
-0.20020020	1.00000000	0.79591837
-0.27027027	1.00000000	-0.42857143
-0.28028028	1.00000000	0.59183673
-0.01001001	1.00000000	0.79591837
-0.15015015	1.00000000	0.38775510
-0.15015015	1.00000000	0.79591837
-0.09009009	1.00000000	0.59183673
-0.03003003	1.00000000	0.59183673
-0.08008008	1.00000000	0.79591837
-0.06006006	1.00000000	0.59183673
0.00000000	1.00000000	0.59183673
-0.02002002	1.00000000	0.79591837
-0.04004004	1.00000000	0.59183673
0.00000000	1.00000000	1.00000000
0.00000000	1.00000000	0.18367347
0.00000000	1.00000000	0.38775510
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.79591837
0.00000000	1.00000000	0.18367347
