obstacle	finish	combined
-0.01001001	0.00120001	-1.05105105
-0.21021021	1.00000000	-0.16016016
-0.16016016	1.00000000	-0.55055055
-0.48048048	0.99166667	0.00000000
0.00000000	1.00000000	-0.35035035
-0.33033033	1.00000000	-0.50050050
0.00000000	1.00000000	-0.41041041
-0.20020020	1.00000000	0.00000000
0.00000000	1.00000000	-0.12012012
-0.45045045	1.00000000	-0.76076076
-0.43043043	0.98347107	-1.02102102
-0.86086086	1.00000000	0.00000000
-0.11011011	1.00000000	0.00000000
-0.17017017	1.00000000	-0.05005005
0.00000000	1.00000000	-0.33033033
-0.33033033	1.00000000	0.04017857
-0.02002002	1.00000000	-0.49049049
-0.07007007	1.00000000	0.00000000
-0.26026026	1.00000000	-0.25025025
-0.17017017	1.00000000	0.00000000
-0.07007007	1.00000000	-0.01001001
-0.21021021	1.00000000	-0.01001001
-0.48048048	1.00000000	-0.02002002
-0.06006006	1.00000000	-0.45578231
-0.52052052	1.00000000	0.25991189
-0.50050050	1.00000000	-1.26126126
-0.53053053	1.00000000	0.17808219
-0.54054054	1.00000000	-0.04004004
-0.67067067	1.00000000	-0.38038038
-0.02002002	0.99166667	-0.04741379
-0.23023023	1.00000000	-0.05005005
-0.47047047	1.00000000	0.07883817
-0.04004004	1.00000000	-0.31140351
0.00000000	1.00000000	0.52912621
-0.99099099	1.00000000	0.20164609
0.00000000	1.00000000	0.32777778
-0.57057057	1.00000000	0.43203883
-0.06006006	1.00000000	0.64497041
-0.02002002	1.00000000	0.08715596
-0.51051051	1.00000000	0.22790698
-0.30030030	1.00000000	0.12627551
-0.17017017	1.00000000	0.26339286
-0.03003003	1.00000000	-0.86728395
0.00000000	1.00000000	-0.52744630
-0.49049049	1.00000000	-0.00492611
-0.42042042	1.00000000	0.53431373
-0.55055055	1.00000000	0.06312292
-0.47047047	1.00000000	0.03571429
-0.13013013	1.00000000	0.23886640
-0.09009009	1.00000000	0.22897196
-0.12012012	1.00000000	0.37089202
-0.49049049	1.00000000	0.67231638
-0.17017017	1.00000000	0.00000000
-0.73073073	1.00000000	-0.13013013
-0.17017017	1.00000000	0.53804348
-0.44044044	1.00000000	0.42180095
-0.28028028	1.00000000	0.25520833
-0.16016016	1.00000000	-0.54651163
-0.69069069	1.00000000	-0.14014014
-0.11011011	1.00000000	-0.01001001
-0.30030030	1.00000000	0.11153846
-0.29029029	1.00000000	0.31349206
-0.31031031	1.00000000	-0.00381679
-0.55055055	0.99166667	-0.08874459
-0.25025025	1.00000000	0.06834532
-0.35035035	1.00000000	0.63978495
-0.81081081	1.00000000	0.39600000
0.00000000	1.00000000	0.20274914
-0.39039039	1.00000000	0.17753623
-1.37137137	1.00000000	-0.03003003
-0.10010010	1.00000000	-0.15789474
-0.18018018	1.00000000	0.20081967
-0.42042042	1.00000000	-0.14832536
-0.07007007	1.00000000	-0.04004004
-0.44044044	1.00000000	-0.00367647
-0.26026026	0.99166667	0.22580645
-0.28028028	1.00000000	0.34347826
-0.14014014	0.99166667	0.52153110
-0.09009009	1.00000000	0.37500000
-0.33033033	1.00000000	0.35975610
-0.23023023	1.00000000	0.58235294
-0.66066066	1.00000000	0.64880952
-0.18018018	1.00000000	0.15047619
-0.53053053	1.00000000	0.59890110
-0.57057057	1.00000000	-0.14014014
-0.41041041	1.00000000	0.03982301
-0.38038038	1.00000000	0.68125000
-0.41041041	1.00000000	0.60365854
-0.15015015	1.00000000	0.52666667
-0.31031031	1.00000000	0.16201117
-1.00100100	0.98347107	-0.01001001
-0.85085085	1.00000000	0.59398496
-0.25025025	1.00000000	0.35000000
-0.44044044	1.00000000	0.34507042
-0.22022022	1.00000000	0.12179487
-0.38038038	1.00000000	0.89344262
-0.28028028	1.00000000	0.45038168
-0.37037037	1.00000000	0.11695279
-0.38038038	1.00000000	0.39072848
-0.20020020	1.00000000	0.43065693
-0.24024024	1.00000000	0.51879699
-0.17017017	1.00000000	0.74166667
-0.55055055	1.00000000	0.72357724
-0.37037037	1.00000000	-0.00714286
-0.70070070	1.00000000	0.64227642
-0.14014014	1.00000000	0.59848485
-0.19019019	1.00000000	0.65833333
-0.56056056	1.00000000	0.36296296
-0.24024024	0.99166667	0.74436090
-0.29029029	1.00000000	0.73553719
-0.21021021	1.00000000	0.50967742
-0.06006006	1.00000000	0.57024793
-0.15015015	1.00000000	0.57983193
-1.12112112	1.00000000	0.91596639
-0.26026026	1.00000000	-0.48795181
-0.18018018	0.99166667	0.61240310
0.00000000	1.00000000	0.57024793
-0.14014014	1.00000000	0.79200000
-0.27027027	1.00000000	0.97540984
-0.19019019	1.00000000	0.65441176
0.00000000	1.00000000	0.82500000
-0.34034034	1.00000000	0.68992248
-0.13013013	1.00000000	0.83193277
0.00000000	1.00000000	0.74789916
-0.92092092	1.00000000	0.28467153
0.00000000	1.00000000	0.68750000
-0.21021021	1.00000000	0.61718750
-0.36036036	1.00000000	0.37984496
-0.34034034	1.00000000	0.63200000
-0.19019019	1.00000000	0.90082645
-0.39039039	1.00000000	0.81818182
-0.45045045	1.00000000	0.72950820
-0.22022022	1.00000000	0.46456693
-0.29029029	1.00000000	0.11290323
-0.36036036	1.00000000	0.79838710
-1.29129129	1.00000000	0.69531250
-0.24024024	1.00000000	0.58518519
-0.35035035	1.00000000	-0.00671141
-0.21021021	1.00000000	0.88617886
0.00000000	1.00000000	0.74166667
0.00000000	1.00000000	0.78571429
-0.26026026	1.00000000	0.72357724
0.00000000	1.00000000	0.74789916
-0.42042042	1.00000000	0.51879699
-0.11011011	1.00000000	0.79200000
-0.18018018	1.00000000	0.66386555
-0.19019019	1.00000000	0.66386555
-0.66066066	1.00000000	0.66386555
-0.11011011	1.00000000	0.70078740
-0.43043043	1.00000000	0.71774194
-0.25025025	1.00000000	0.74166667
-0.04004004	1.00000000	0.54330709
-0.42042042	1.00000000	0.51492537
-0.39039039	1.00000000	0.71200000
-0.11011011	1.00000000	0.70078740
-0.27027027	0.98347107	0.47916667
-0.98098098	1.00000000	0.63709677
-0.17017017	1.00000000	0.74789916
-1.03103103	1.00000000	0.63709677
-0.32032032	1.00000000	0.74166667
-0.48048048	1.00000000	0.66386555
-0.18018018	1.00000000	0.65289256
-0.18018018	1.00000000	0.72357724
-0.39039039	1.00000000	0.91596639
-0.01001001	1.00000000	0.74789916
-0.34034034	1.00000000	0.44696970
-0.22022022	1.00000000	0.48760331
-0.34034034	1.00000000	0.66386555
-0.06006006	1.00000000	0.44360902
-0.19019019	1.00000000	0.90833333
-0.18018018	0.98347107	0.64227642
-0.97097097	0.99166667	0.71200000
-0.27027027	1.00000000	0.81147541
-0.15015015	1.00000000	0.74789916
-0.25025025	1.00000000	0.82500000
-0.25025025	1.00000000	-0.02002002
-0.12012012	1.00000000	-0.02002002
-0.20020020	1.00000000	0.57500000
-0.22022022	1.00000000	0.74166667
-0.32032032	1.00000000	0.63709677
-0.97097097	1.00000000	0.72357724
-0.33033033	1.00000000	0.82500000
-0.38038038	1.00000000	0.83193277
-0.15015015	1.00000000	0.48760331
-0.24024024	1.00000000	0.57983193
-0.33033033	1.00000000	0.66386555
-0.14014014	1.00000000	0.74789916
-0.74074074	1.00000000	0.31200000
-0.29029029	1.00000000	0.65833333
-0.12012012	1.00000000	0.91596639
-0.26026026	1.00000000	0.74166667
-0.32032032	1.00000000	0.49579832
-0.30030030	1.00000000	0.82500000
-0.35035035	1.00000000	0.74166667
-0.16016016	1.00000000	0.74789916
-0.22022022	1.00000000	0.86507937
-0.47047047	1.00000000	0.90082645
-0.10010010	1.00000000	0.76744186
-0.93093093	1.00000000	0.61240310
0.00000000	1.00000000	0.73553719
0.00000000	1.00000000	0.64227642
0.00000000	1.00000000	0.54330709
-0.27027027	1.00000000	0.72950820
-0.14014014	1.00000000	0.66386555
-0.31031031	1.00000000	0.57983193
-0.73073073	1.00000000	0.74789916
-0.20020020	1.00000000	0.98347107
-0.27027027	1.00000000	0.91596639
-0.01001001	1.00000000	0.74166667
-0.28028028	1.00000000	0.88617886
-0.31031031	0.98347107	0.83193277
0.00000000	1.00000000	0.87903226
-0.75075075	1.00000000	0.91596639
0.00000000	1.00000000	0.57983193
0.00000000	0.99166667	0.83193277
-0.16016016	1.00000000	0.81818182
-0.06006006	1.00000000	0.74789916
-0.09009009	1.00000000	0.57983193
-0.63063063	1.00000000	0.57983193
0.00000000	0.99166667	0.74789916
0.00000000	1.00000000	0.66386555
-0.09009009	1.00000000	0.65833333
-0.20020020	1.00000000	0.49579832
-0.23023023	1.00000000	0.66386555
-0.14014014	1.00000000	0.74789916
-0.56056056	1.00000000	0.73553719
-0.20020020	1.00000000	0.91596639
-0.25025025	1.00000000	0.66386555
-0.14014014	1.00000000	0.73553719
0.00000000	1.00000000	0.49579832
-0.31031031	1.00000000	0.57983193
-0.34034034	1.00000000	0.74789916
-0.46046046	1.00000000	0.66386555
-0.75075075	1.00000000	0.91596639
0.00000000	0.99166667	0.66386555
0.00000000	1.00000000	0.66386555
0.00000000	1.00000000	0.74789916
-0.23023023	1.00000000	0.74789916
-0.16016016	1.00000000	0.91596639
-0.99099099	1.00000000	0.66386555
0.00000000	1.00000000	0.74789916
-0.01001001	1.00000000	0.83193277
-0.57057057	1.00000000	0.83193277
-0.03003003	1.00000000	0.83193277
-0.05005005	1.00000000	0.74789916
-0.12012012	1.00000000	0.83193277
-0.11011011	1.00000000	0.83193277
-0.18018018	1.00000000	0.91596639
0.00000000	1.00000000	0.91596639
-0.45045045	1.00000000	0.57983193
-0.57057057	1.00000000	0.74789916
-0.11011011	1.00000000	0.66386555
-0.08008008	1.00000000	0.83193277
-0.79079079	1.00000000	0.66386555
-0.43043043	1.00000000	1.00000000
-0.25025025	1.00000000	0.83193277
-0.16016016	1.00000000	0.66386555
-0.19019019	1.00000000	0.57983193
-0.16016016	0.99166667	0.74789916
-0.20020020	1.00000000	0.83193277
-0.22022022	1.00000000	0.83193277
-0.08008008	1.00000000	0.83193277
-0.10010010	1.00000000	0.74789916
-0.15015015	1.00000000	0.91596639
-0.06006006	0.99166667	0.91596639
-0.17017017	1.00000000	0.83193277
