obstacle	finish	combined
0.00000000	0.00716307	-0.34034034
0.00000000	1.00000000	-0.24024024
0.00000000	0.99166667	-0.44044044
-0.36036036	0.97540984	-0.33033033
-0.51051051	0.98347107	-0.40040040
-0.68068068	0.99166667	-0.11011011
-0.85085085	0.97540984	-0.21021021
-0.11011011	0.99166667	-0.36036036
-0.54054054	0.99166667	0.00000000
-0.36036036	0.98347107	-0.39039039
0.00000000	1.00000000	-0.19019019
-0.52052052	1.00000000	0.00000000
-0.49049049	1.00000000	-0.10010010
0.00000000	0.99166667	-0.36036036
-0.58058058	1.00000000	0.00000000
-0.14014014	0.98347107	-0.01001001
-0.13013013	0.99166667	-0.18018018
-0.31031031	0.99166667	0.00000000
-0.01001001	0.99166667	-0.08008008
-0.32032032	0.99166667	-0.08008008
0.00000000	0.98347107	-0.05005005
-0.21021021	0.97540984	-0.10010010
-0.99099099	1.00000000	0.00000000
-0.27027027	0.99166667	0.11885246
-0.05005005	0.97540984	0.09090909
-0.23023023	1.00000000	0.43406593
-0.12012012	0.99166667	0.29588015
-0.15015015	0.98347107	-0.30341880
-0.54054054	1.00000000	0.10861423
-0.69069069	1.00000000	0.28519856
-0.16016016	0.99166667	0.23600000
-0.25025025	0.95967742	0.26339286
-0.29029029	0.98347107	0.53125000
-0.31031031	0.99166667	0.45142857
-0.99099099	1.00000000	0.20851064
-0.20020020	1.00000000	-0.12449799
-0.69069069	1.00000000	0.16717791
-0.13013013	0.97540984	0.15775401
-0.11011011	0.98347107	0.18421053
-0.19019019	1.00000000	0.52153110
-0.16016016	1.00000000	0.27710843
-0.35035035	1.00000000	0.29113924
-0.23023023	0.97540984	0.26940639
-0.93093093	1.00000000	0.25541126
-0.71071071	0.99166667	0.36625514
-0.24024024	0.97540984	-0.03859649
-0.33033033	0.96747967	-0.52755906
-0.28028028	0.96747967	-0.04014599
-0.37037037	0.95967742	0.37089202
-0.36036036	0.98347107	0.59890110
-0.18018018	0.99166667	0.25231481
-0.25025025	1.00000000	-0.00213220
-0.34034034	0.98347107	-0.20748299
-0.12012012	1.00000000	-0.20078740
-0.60060060	0.97540984	-0.22397476
0.00000000	0.99166667	0.20502092
-0.52052052	1.00000000	0.55279503
-0.49049049	0.97540984	-0.04104478
-0.24024024	0.99166667	0.59890110
-0.55055055	1.00000000	0.53939394
-0.27027027	0.99166667	0.41013825
-0.70070070	0.99166667	0.23177083
-0.68068068	0.96747967	0.38164251
-0.40040040	0.98347107	-0.00485437
-0.21021021	0.99166667	0.21835443
-0.43043043	1.00000000	0.64497041
-0.27027027	0.98347107	0.65384615
-0.09009009	0.99166667	0.39500000
0.00000000	1.00000000	0.23790323
-0.11011011	0.97540984	0.44196429
0.00000000	1.00000000	-0.34987593
-0.20020020	1.00000000	-0.49049049
-0.54054054	0.99166667	-0.15015015
-0.54054054	1.00000000	-0.19933921
-0.20020020	1.00000000	0.63870968
-0.06006006	0.98347107	0.12608696
-0.50050050	0.97540984	-0.11011011
-0.43043043	0.98347107	0.51562500
-0.18018018	0.97540984	0.23786408
-0.20020020	0.99166667	0.51149425
-0.24024024	1.00000000	0.11377246
-0.44044044	0.99166667	0.42583732
-0.50050050	0.97540984	0.48765432
-0.26026026	0.98347107	-0.02002002
-0.05005005	0.99166667	-0.19245283
-0.44044044	0.99166667	0.40116279
0.00000000	0.99166667	0.23113208
-1.00100100	1.00000000	0.13615023
0.00000000	1.00000000	0.34027778
-0.75075075	1.00000000	0.23636364
-0.68068068	0.95200000	0.12025316
-0.06006006	1.00000000	-0.01001001
-0.25025025	0.97540984	0.68275862
-0.56056056	1.00000000	0.56834532
0.00000000	0.99166667	0.44696970
-0.65065065	1.00000000	0.62204724
-0.10010010	0.98347107	0.12730627
-0.16016016	1.00000000	0.28862974
-0.42042042	0.98347107	0.62698413
-0.31031031	0.99166667	0.70078740
-0.18018018	0.98347107	0.70634921
-0.78078078	0.99166667	0.55244755
-0.30030030	1.00000000	0.44360902
-0.14014014	0.99166667	0.39837398
-0.16016016	0.99166667	0.71223022
-1.07107107	0.95967742	0.28260870
-0.67067067	1.00000000	0.64754098
-0.44044044	0.99166667	0.82575758
-0.16016016	0.98347107	0.28676471
-0.23023023	0.99166667	0.55633803
-0.09009009	0.99166667	0.61240310
-0.11011011	0.99166667	0.64028777
-0.88088088	1.00000000	0.85000000
0.00000000	0.98347107	0.91596639
-1.06106106	0.97540984	0.60769231
0.00000000	0.98347107	0.79838710
-0.72072072	0.99166667	0.35251799
-0.40040040	0.97540984	0.56097561
-0.11011011	0.96747967	0.48591549
-0.21021021	0.98347107	0.47967480
-0.82082082	0.99166667	0.68461538
-0.27027027	1.00000000	0.79562044
-0.20020020	0.98347107	0.90833333
-0.26026026	1.00000000	0.65833333
-0.46046046	0.97540984	0.56557377
0.00000000	1.00000000	0.62698413
-0.51051051	1.00000000	0.71200000
-0.21021021	1.00000000	0.82500000
-0.12012012	0.97540984	0.74789916
0.00000000	0.96747967	0.79838710
-0.17017017	1.00000000	0.55645161
-0.43043043	0.99166667	0.56557377
-0.11011011	0.97540984	0.40932642
-0.29029029	1.00000000	0.79200000
-0.16016016	0.98347107	0.76744186
-1.00100100	0.98347107	0.42446043
0.00000000	1.00000000	0.35766423
0.00000000	0.99166667	0.83193277
-0.29029029	0.96747967	0.56557377
-0.53053053	0.98347107	0.73880597
-0.15015015	1.00000000	0.79838710
-0.47047047	0.98347107	0.53378378
-0.40040040	1.00000000	0.53488372
-0.17017017	1.00000000	0.90082645
0.00000000	0.97540984	0.57024793
-0.42042042	0.99166667	0.39837398
-0.08008008	0.99166667	0.71774194
-0.37037037	1.00000000	0.53906250
-0.15015015	1.00000000	0.47200000
-0.28028028	0.99166667	1.00000000
-0.13013013	0.97540984	0.63200000
-0.25025025	0.98347107	0.76153846
-0.04004004	0.99166667	0.90082645
-0.67067067	0.97540984	0.74166667
-0.49049049	0.99166667	0.74789916
-0.35035035	0.99166667	0.80487805
-1.08108108	1.00000000	0.65833333
-0.54054054	0.98347107	0.80487805
-0.10010010	0.97540984	0.65833333
-0.24024024	1.00000000	0.63571429
-0.38038038	0.99166667	0.66386555
-0.91091091	1.00000000	0.89344262
-0.18018018	0.96747967	0.57024793
-0.66066066	0.99166667	0.79200000
-1.09109109	0.98347107	0.83206107
-0.64064064	0.98347107	0.81147541
-0.09009009	0.98347107	0.82500000
-0.08008008	1.00000000	0.42446043
-0.24024024	1.00000000	0.72950820
-0.17017017	1.00000000	0.90833333
-0.21021021	1.00000000	0.64227642
-0.21021021	0.98347107	0.90082645
-0.16016016	0.98347107	0.82500000
-0.24024024	1.00000000	0.76744186
-0.16016016	0.98347107	0.56097561
0.00000000	0.99166667	0.73553719
-0.20020020	0.99166667	0.65289256
-0.43043043	1.00000000	0.81818182
-0.38038038	0.99166667	0.54330709
-0.09009009	1.00000000	0.57024793
-0.23023023	1.00000000	0.71774194
-0.60060060	0.95967742	0.49166667
-0.21021021	1.00000000	0.57024793
-0.35035035	0.98347107	0.39200000
-0.93093093	0.98347107	0.64227642
-0.56056056	1.00000000	0.74166667
-0.11011011	1.00000000	0.73553719
-1.43143143	0.99166667	0.72357724
-0.60060060	0.99166667	0.54761905
-0.43043043	0.99166667	0.68461538
-0.20020020	0.95967742	0.99166667
-0.28028028	0.98347107	0.66386555
-0.31031031	0.97540984	0.81818182
-0.11011011	1.00000000	0.72357724
-0.21021021	1.00000000	0.48360656
-0.12012012	0.99166667	0.82500000
-0.43043043	1.00000000	0.91596639
-0.13013013	1.00000000	0.80487805
-0.18018018	0.96747967	0.56097561
-0.48048048	1.00000000	0.72357724
-0.16016016	1.00000000	0.83193277
-0.08008008	1.00000000	0.80487805
-0.34034034	0.98347107	0.83193277
0.00000000	0.99166667	0.74789916
-0.15015015	0.99166667	0.56557377
-0.13013013	0.96747967	0.64754098
-0.74074074	1.00000000	0.82500000
-0.26026026	0.98347107	0.45736434
-0.17017017	0.98347107	0.74789916
-0.13013013	0.98347107	0.64754098
