obstacle	finish	combined
-0.32032032	0.00355298	-0.05005005
-0.15015015	1.00000000	-0.27027027
-0.41041041	1.00000000	-0.27027027
0.00000000	1.00000000	-0.11011011
-0.39039039	1.00000000	-0.54054054
-0.48048048	1.00000000	-0.64064064
0.00000000	1.00000000	-0.08008008
-0.22022022	1.00000000	-0.13013013
0.00000000	1.00000000	-0.31031031
-0.29029029	1.00000000	-0.42042042
-0.14014014	1.00000000	0.00000000
-0.30030030	0.99166667	0.00000000
-0.16016016	1.00000000	-0.33033033
-0.17017017	1.00000000	-0.25025025
-0.06006006	0.99166667	-0.16016016
-0.18018018	1.00000000	-0.23023023
-0.11011011	1.00000000	-0.06006006
-0.08008008	1.00000000	-0.04004004
-0.13013013	1.00000000	-0.26026026
-0.11011011	1.00000000	-0.45045045
-0.04004004	1.00000000	-0.37037037
-0.22022022	1.00000000	0.00000000
0.00000000	1.00000000	-0.32032032
-0.04004004	1.00000000	-0.38038038
-0.01001001	1.00000000	-0.18018018
-0.12012012	1.00000000	0.00000000
-0.06006006	1.00000000	-0.05005005
-0.05005005	1.00000000	-0.65065065
-0.04004004	1.00000000	-0.11011011
-0.14014014	1.00000000	-0.14014014
0.00000000	1.00000000	-0.18018018
-0.04004004	1.00000000	-0.22022022
-0.10010010	1.00000000	-0.12012012
-0.21021021	1.00000000	0.00000000
-0.37037037	0.99166667	-0.43043043
0.00000000	1.00000000	-0.02002002
-0.13013013	1.00000000	-0.16016016
-0.09009009	1.00000000	-9.87987988
-0.02002002	1.00000000	-0.09009009
-0.02002002	1.00000000	-0.18018018
-0.08008008	1.00000000	0.00000000
0.00000000	1.00000000	-0.09009009
0.00000000	1.00000000	-0.01001001
-0.07007007	1.00000000	-0.12012012
-0.14014014	1.00000000	-0.01001001
-0.08008008	1.00000000	0.00000000
-0.13013013	1.00000000	-0.13013013
-0.14014014	1.00000000	-0.08008008
-0.04004004	1.00000000	-0.13013013
-0.11011011	1.00000000	-0.11011011
0.00000000	0.99166667	-0.05005005
-0.11011011	1.00000000	-0.02002002
-0.13013013	1.00000000	-0.07007007
0.00000000	1.00000000	-0.05005005
-0.13013013	1.00000000	-0.02002002
-0.04004004	1.00000000	-0.03003003
-0.02002002	1.00000000	0.00000000
-0.07007007	1.00000000	0.68750000
-0.08008008	1.00000000	-0.01001001
-0.16016016	1.00000000	0.81954887
-0.07007007	1.00000000	-0.03003003
-0.13013013	1.00000000	0.00000000
-0.06006006	1.00000000	0.00000000
-0.13013013	1.00000000	0.29750000
-0.21021021	1.00000000	0.21236559
-0.10010010	1.00000000	-0.02002002
-0.06006006	1.00000000	0.00000000
-0.08008008	0.99166667	0.00000000
-0.09009009	1.00000000	0.76153846
-0.24024024	1.00000000	0.00000000
-0.14014014	1.00000000	0.30169492
-0.18018018	1.00000000	0.00000000
0.00000000	1.00000000	0.16424116
-0.14014014	1.00000000	-0.01001001
-0.14014014	1.00000000	0.00000000
-0.05005005	1.00000000	0.53846154
-0.09009009	1.00000000	0.28459530
-0.16016016	1.00000000	0.08057851
0.00000000	1.00000000	0.08705357
-0.09009009	1.00000000	0.12730627
-0.06006006	1.00000000	0.22623574
-0.06006006	0.99166667	-0.03003003
-0.03003003	1.00000000	0.30620155
-0.21021021	1.00000000	0.00000000
-0.07007007	0.98347107	0.77343750
-0.08008008	1.00000000	-0.01001001
-0.03003003	1.00000000	0.00000000
-0.08008008	1.00000000	0.88805970
-0.08008008	1.00000000	0.77343750
-0.12012012	1.00000000	0.80147059
-0.12012012	1.00000000	0.85611511
-0.20020020	1.00000000	0.74657534
-0.10010010	1.00000000	0.00000000
-0.13013013	1.00000000	0.00000000
0.00000000	1.00000000	0.00000000
0.00000000	1.00000000	0.00000000
0.00000000	1.00000000	0.86231884
-0.05005005	0.98347107	0.97540984
-0.10010010	1.00000000	0.71739130
-0.03003003	1.00000000	-0.01001001
-0.09009009	1.00000000	0.00000000
-0.04004004	1.00000000	-0.01001001
-0.08008008	1.00000000	-0.01001001
-0.06006006	1.00000000	0.59398496
-0.17017017	1.00000000	0.10089400
0.00000000	1.00000000	0.00000000
-0.10010010	1.00000000	0.82638889
-0.06006006	1.00000000	0.69531250
-0.09009009	1.00000000	0.76760563
-0.05005005	1.00000000	0.72262774
-0.04004004	1.00000000	-0.01001001
-0.02002002	1.00000000	-0.02002002
-0.02002002	1.00000000	0.08690869
-0.03003003	1.00000000	0.00000000
-0.05005005	1.00000000	0.62698413
-0.02002002	1.00000000	0.78417266
-0.08008008	1.00000000	0.77952756
-0.09009009	1.00000000	0.20370370
-0.08008008	1.00000000	-0.03003003
-0.06006006	1.00000000	0.83206107
-0.06006006	1.00000000	0.68992248
-0.04004004	1.00000000	0.63461538
-0.08008008	1.00000000	0.92968750
-0.04004004	1.00000000	0.00000000
-0.06006006	1.00000000	0.00000000
0.00000000	1.00000000	0.00000000
-0.18018018	1.00000000	0.00000000
-0.04004004	1.00000000	0.92968750
-0.08008008	1.00000000	0.85611511
-0.01001001	1.00000000	0.77343750
-0.08008008	0.98347107	0.00000000
-0.04004004	1.00000000	0.00000000
-0.05005005	1.00000000	0.83206107
-0.06006006	1.00000000	0.60769231
