epoch,module,reward,obstacles,time
0,finish,39.00000000,0,9945
0,obstacle,-170.00000000,17,999
0,finish+obstacle,-151.00000000,19,891
1,finish,39.00000000,0,39
1,obstacle,-430.00000000,43,999
1,finish+obstacle,-10.00000000,1,999
2,finish,39.00000000,0,39
2,obstacle,-450.00000000,45,999
2,finish+obstacle,0.00000000,0,999
3,finish,39.00000000,0,39
3,obstacle,-370.00000000,37,999
3,finish+obstacle,39.00000000,0,69
4,finish,39.00000000,0,39
4,obstacle,-110.00000000,11,999
4,finish+obstacle,9.00000000,3,49
5,finish,39.00000000,0,40
5,obstacle,-120.00000000,12,999
5,finish+obstacle,29.00000000,1,39
6,finish,39.00000000,0,39
6,obstacle,-260.00000000,26,999
6,finish+obstacle,-1.00000000,3,39
7,finish,39.00000000,0,39
7,obstacle,-270.00000000,27,999
7,finish+obstacle,19.00000000,2,39
8,finish,39.00000000,0,39
8,obstacle,-150.00000000,15,999
8,finish+obstacle,39.00000000,0,39
9,finish,39.00000000,0,39
9,obstacle,-150.00000000,15,999
9,finish+obstacle,19.00000000,2,39
10,finish,39.00000000,0,39
10,obstacle,-120.00000000,12,999
10,finish+obstacle,29.00000000,1,39
11,finish,39.00000000,0,39
11,obstacle,-160.00000000,16,999
11,finish+obstacle,19.00000000,2,39
12,finish,39.00000000,0,39
12,obstacle,-200.00000000,20,999
12,finish+obstacle,19.00000000,2,39
13,finish,39.00000000,0,39
13,obstacle,-50.00000000,5,999
13,finish+obstacle,19.00000000,2,39
14,finish,39.00000000,0,39
14,obstacle,-60.00000000,6,999
14,finish+obstacle,19.00000000,2,39
15,finish,39.00000000,0,39
15,obstacle,-170.00000000,17,999
15,finish+obstacle,39.00000000,0,39
16,finish,39.00000000,0,39
16,obstacle,-240.00000000,24,999
16,finish+obstacle,39.00000000,0,39
17,finish,39.00000000,0,39
17,obstacle,-310.00000000,31,999
17,finish+obstacle,9.00000000,3,39
18,finish,39.00000000,0,39
18,obstacle,-110.00000000,11,999
18,finish+obstacle,39.00000000,0,39
19,finish,39.00000000,0,39
19,obstacle,-90.00000000,9,999
19,finish+obstacle,29.00000000,1,39
20,finish,39.00000000,0,39
20,obstacle,-90.00000000,9,999
20,finish+obstacle,19.00000000,2,39
21,finish,39.00000000,0,39
21,obstacle,-170.00000000,17,999
21,finish+obstacle,29.00000000,1,39
22,finish,39.00000000,0,39
22,obstacle,-100.00000000,10,999
22,finish+obstacle,29.00000000,1,39
23,finish,39.00000000,0,39
23,obstacle,-100.00000000,10,999
23,finish+obstacle,29.00000000,1,39
24,finish,39.00000000,0,39
24,obstacle,-100.00000000,10,999
24,finish+obstacle,29.00000000,1,39
25,finish,39.00000000,0,39
25,obstacle,-150.00000000,15,999
25,finish+obstacle,-1.00000000,4,39
26,finish,39.00000000,0,39
26,obstacle,-10.00000000,1,999
26,finish+obstacle,29.00000000,1,39
27,finish,39.00000000,0,39
27,obstacle,-70.00000000,7,999
27,finish+obstacle,39.00000000,0,39
28,finish,39.00000000,0,39
28,obstacle,-90.00000000,9,999
28,finish+obstacle,29.00000000,1,39
29,finish,39.00000000,0,39
29,obstacle,-410.00000000,41,999
29,finish+obstacle,19.00000000,2,39
30,finish,39.00000000,0,39
30,obstacle,0.00000000,0,999
30,finish+obstacle,19.00000000,2,39
31,finish,39.00000000,0,39
31,obstacle,-140.00000000,14,999
31,finish+obstacle,9.00000000,3,39
32,finish,39.00000000,0,39
32,obstacle,-30.00000000,3,999
32,finish+obstacle,19.00000000,2,39
33,finish,39.00000000,0,39
33,obstacle,-100.00000000,10,999
33,finish+obstacle,29.00000000,1,39
34,finish,39.00000000,0,39
34,obstacle,-30.00000000,3,999
34,finish+obstacle,-11.00000000,4,39
35,finish,39.00000000,0,39
35,obstacle,-10.00000000,1,999
35,finish+obstacle,19.00000000,2,39
36,finish,39.00000000,0,39
36,obstacle,-100.00000000,10,999
36,finish+obstacle,-1.00000000,4,39
37,finish,39.00000000,0,39
37,obstacle,-100.00000000,10,999
37,finish+obstacle,39.00000000,0,39
38,finish,39.00000000,0,39
38,obstacle,-40.00000000,4,999
38,finish+obstacle,39.00000000,0,39
39,finish,39.00000000,0,39
39,obstacle,-50.00000000,5,999
39,finish+obstacle,9.00000000,3,39
40,finish,39.00000000,0,39
40,obstacle,-170.00000000,17,999
40,finish+obstacle,19.00000000,2,39
41,finish,39.00000000,0,39
41,obstacle,-20.00000000,2,999
41,finish+obstacle,39.00000000,0,39
42,finish,39.00000000,0,39
42,obstacle,-70.00000000,7,999
42,finish+obstacle,29.00000000,1,41
43,finish,39.00000000,0,39
43,obstacle,-60.00000000,6,999
43,finish+obstacle,29.00000000,1,40
44,finish,39.00000000,0,39
44,obstacle,-20.00000000,2,999
44,finish+obstacle,9.00000000,3,39
45,finish,39.00000000,0,39
45,obstacle,-120.00000000,12,999
45,finish+obstacle,39.00000000,0,39
46,finish,39.00000000,0,39
46,obstacle,-50.00000000,5,999
46,finish+obstacle,19.00000000,2,39
47,finish,39.00000000,0,39
47,obstacle,-200.00000000,20,999
47,finish+obstacle,39.00000000,0,39
48,finish,39.00000000,0,39
48,obstacle,-130.00000000,13,999
48,finish+obstacle,9.00000000,2,39
49,finish,39.00000000,0,39
49,obstacle,-370.00000000,37,999
49,finish+obstacle,29.00000000,1,39
50,finish,39.00000000,0,39
50,obstacle,-90.00000000,9,999
50,finish+obstacle,19.00000000,2,39
51,finish,39.00000000,0,39
51,obstacle,-50.00000000,5,999
51,finish+obstacle,9.00000000,3,39
52,finish,39.00000000,0,39
52,obstacle,-30.00000000,3,999
52,finish+obstacle,29.00000000,1,39
53,finish,39.00000000,0,39
53,obstacle,-90.00000000,9,999
53,finish+obstacle,9.00000000,3,39
54,finish,39.00000000,0,39
54,obstacle,-20.00000000,2,999
54,finish+obstacle,-1.00000000,4,39
55,finish,39.00000000,0,39
55,obstacle,-130.00000000,13,999
55,finish+obstacle,39.00000000,0,39
56,finish,39.00000000,0,39
56,obstacle,-70.00000000,7,999
56,finish+obstacle,9.00000000,3,39
57,finish,39.00000000,0,39
57,obstacle,-350.00000000,35,999
57,finish+obstacle,9.00000000,3,39
58,finish,39.00000000,0,39
58,obstacle,-180.00000000,18,999
58,finish+obstacle,19.00000000,2,39
59,finish,39.00000000,0,40
59,obstacle,-100.00000000,10,999
59,finish+obstacle,19.00000000,2,39
60,finish,39.00000000,0,39
60,obstacle,-140.00000000,14,999
60,finish+obstacle,19.00000000,2,39
61,finish,39.00000000,0,39
61,obstacle,-140.00000000,14,999
61,finish+obstacle,29.00000000,1,39
62,finish,39.00000000,0,39
62,obstacle,-150.00000000,15,999
62,finish+obstacle,39.00000000,0,39
63,finish,39.00000000,0,39
63,obstacle,-210.00000000,21,999
63,finish+obstacle,39.00000000,0,39
64,finish,39.00000000,0,39
64,obstacle,-130.00000000,13,999
64,finish+obstacle,-1.00000000,4,39
65,finish,39.00000000,0,39
65,obstacle,-60.00000000,6,999
65,finish+obstacle,39.00000000,0,39
66,finish,39.00000000,0,39
66,obstacle,-270.00000000,27,999
66,finish+obstacle,9.00000000,3,39
67,finish,39.00000000,0,39
67,obstacle,-20.00000000,2,999
67,finish+obstacle,29.00000000,1,39
68,finish,39.00000000,0,39
68,obstacle,-170.00000000,17,999
68,finish+obstacle,19.00000000,2,39
69,finish,39.00000000,0,39
69,obstacle,-70.00000000,7,999
69,finish+obstacle,39.00000000,0,39
70,finish,39.00000000,0,39
70,obstacle,-20.00000000,2,999
70,finish+obstacle,29.00000000,1,39
71,finish,39.00000000,0,39
71,obstacle,0.00000000,0,999
71,finish+obstacle,19.00000000,2,39
72,finish,39.00000000,0,39
72,obstacle,0.00000000,0,999
72,finish+obstacle,19.00000000,2,39
73,finish,39.00000000,0,39
73,obstacle,0.00000000,0,999
73,finish+obstacle,19.00000000,2,39
74,finish,39.00000000,0,39
74,obstacle,0.00000000,0,999
74,finish+obstacle,19.00000000,2,39
75,finish,39.00000000,0,39
75,obstacle,0.00000000,0,999
75,finish+obstacle,19.00000000,2,39
76,finish,39.00000000,0,39
76,obstacle,0.00000000,0,999
76,finish+obstacle,9.00000000,3,39
77,finish,39.00000000,0,40
77,obstacle,-10.00000000,1,999
77,finish+obstacle,-1.00000000,4,39
78,finish,39.00000000,0,39
78,obstacle,-10.00000000,1,999
78,finish+obstacle,29.00000000,1,39
79,finish,39.00000000,0,39
79,obstacle,0.00000000,0,999
79,finish+obstacle,29.00000000,1,39
80,finish,39.00000000,0,39
80,obstacle,-50.00000000,5,999
80,finish+obstacle,19.00000000,2,39
81,finish,39.00000000,0,39
81,obstacle,-20.00000000,2,999
81,finish+obstacle,19.00000000,2,39
82,finish,39.00000000,0,39
82,obstacle,0.00000000,0,999
82,finish+obstacle,19.00000000,2,39
83,finish,39.00000000,0,39
83,obstacle,0.00000000,0,999
83,finish+obstacle,9.00000000,2,39
84,finish,39.00000000,0,39
84,obstacle,-10.00000000,1,999
84,finish+obstacle,39.00000000,0,39
85,finish,39.00000000,0,39
85,obstacle,0.00000000,0,999
85,finish+obstacle,-11.00000000,4,39
86,finish,39.00000000,0,39
86,obstacle,-10.00000000,1,999
86,finish+obstacle,9.00000000,3,39
87,finish,39.00000000,0,39
87,obstacle,0.00000000,0,999
87,finish+obstacle,39.00000000,0,39
88,finish,39.00000000,0,39
88,obstacle,-30.00000000,3,999
88,finish+obstacle,29.00000000,1,39
89,finish,39.00000000,0,39
89,obstacle,0.00000000,0,999
89,finish+obstacle,39.00000000,0,39
90,finish,39.00000000,0,39
90,obstacle,0.00000000,0,999
90,finish+obstacle,29.00000000,1,39
91,finish,39.00000000,0,39
91,obstacle,0.00000000,0,999
91,finish+obstacle,9.00000000,3,39
92,finish,39.00000000,0,39
92,obstacle,0.00000000,0,999
92,finish+obstacle,29.00000000,1,39
93,finish,39.00000000,0,39
93,obstacle,0.00000000,0,999
93,finish+obstacle,29.00000000,1,39
94,finish,39.00000000,0,39
94,obstacle,0.00000000,0,999
94,finish+obstacle,29.00000000,1,39
95,finish,39.00000000,0,39
95,obstacle,-70.00000000,7,999
95,finish+obstacle,9.00000000,3,39
96,finish,39.00000000,0,39
96,obstacle,0.00000000,0,999
96,finish+obstacle,29.00000000,1,39
97,finish,39.00000000,0,40
97,obstacle,-20.00000000,2,999
97,finish+obstacle,39.00000000,0,39
98,finish,39.00000000,0,39
98,obstacle,-100.00000000,10,999
98,finish+obstacle,19.00000000,2,39
99,finish,39.00000000,0,39
99,obstacle,-70.00000000,7,999
99,finish+obstacle,9.00000000,3,39
100,finish,39.00000000,0,39
100,obstacle,0.00000000,0,999
100,finish+obstacle,19.00000000,2,39
101,finish,39.00000000,0,39
101,obstacle,0.00000000,0,999
101,finish+obstacle,39.00000000,0,39
102,finish,39.00000000,0,39
102,obstacle,-80.00000000,8,999
102,finish+obstacle,9.00000000,3,39
103,finish,39.00000000,0,39
103,obstacle,-110.00000000,11,999
103,finish+obstacle,29.00000000,1,39
104,finish,39.00000000,0,39
104,obstacle,0.00000000,0,999
104,finish+obstacle,29.00000000,1,39
105,finish,39.00000000,0,40
105,obstacle,-20.00000000,2,999
105,finish+obstacle,19.00000000,2,39
106,finish,39.00000000,0,39
106,obstacle,0.00000000,0,999
106,finish+obstacle,19.00000000,2,39
107,finish,39.00000000,0,40
107,obstacle,0.00000000,0,999
107,finish+obstacle,29.00000000,1,39
108,finish,39.00000000,0,39
108,obstacle,-10.00000000,1,999
108,finish+obstacle,19.00000000,2,39
109,finish,39.00000000,0,39
109,obstacle,0.00000000,0,999
109,finish+obstacle,19.00000000,2,39
110,finish,39.00000000,0,39
110,obstacle,-10.00000000,1,999
110,finish+obstacle,9.00000000,3,39
111,finish,39.00000000,0,39
111,obstacle,-60.00000000,6,999
111,finish+obstacle,19.00000000,2,39
112,finish,39.00000000,0,39
112,obstacle,0.00000000,0,999
112,finish+obstacle,29.00000000,1,39
113,finish,39.00000000,0,39
113,obstacle,-10.00000000,1,999
113,finish+obstacle,-1.00000000,4,39
114,finish,39.00000000,0,39
114,obstacle,0.00000000,0,999
114,finish+obstacle,19.00000000,2,39
115,finish,39.00000000,0,39
115,obstacle,-10.00000000,1,999
115,finish+obstacle,29.00000000,1,39
116,finish,39.00000000,0,39
116,obstacle,0.00000000,0,999
116,finish+obstacle,19.00000000,2,39
117,finish,39.00000000,0,39
117,obstacle,-110.00000000,11,999
117,finish+obstacle,19.00000000,2,39
118,finish,39.00000000,0,39
118,obstacle,-40.00000000,4,999
118,finish+obstacle,19.00000000,2,39
119,finish,39.00000000,0,39
119,obstacle,-20.00000000,2,999
119,finish+obstacle,19.00000000,2,39
120,finish,39.00000000,0,39
120,obstacle,0.00000000,0,999
120,finish+obstacle,-11.00000000,4,39
121,finish,39.00000000,0,39
121,obstacle,-10.00000000,1,999
121,finish+obstacle,39.00000000,0,39
122,finish,39.00000000,0,41
122,obstacle,-50.00000000,5,999
122,finish+obstacle,9.00000000,3,39
123,finish,39.00000000,0,39
123,obstacle,-50.00000000,5,999
123,finish+obstacle,19.00000000,2,39
124,finish,39.00000000,0,39
124,obstacle,0.00000000,0,999
124,finish+obstacle,29.00000000,1,39
125,finish,39.00000000,0,39
125,obstacle,-10.00000000,1,999
125,finish+obstacle,9.00000000,3,40
126,finish,39.00000000,0,39
126,obstacle,0.00000000,0,999
126,finish+obstacle,29.00000000,1,39
127,finish,39.00000000,0,39
127,obstacle,0.00000000,0,999
127,finish+obstacle,39.00000000,0,39
128,finish,39.00000000,0,39
128,obstacle,0.00000000,0,999
128,finish+obstacle,19.00000000,2,39
129,finish,39.00000000,0,39
129,obstacle,-110.00000000,11,999
129,finish+obstacle,9.00000000,3,39
130,finish,39.00000000,0,39
130,obstacle,0.00000000,0,999
130,finish+obstacle,19.00000000,2,39
131,finish,39.00000000,0,39
131,obstacle,0.00000000,0,999
131,finish+obstacle,19.00000000,2,39
132,finish,39.00000000,0,39
132,obstacle,0.00000000,0,999
132,finish+obstacle,39.00000000,0,39
133,finish,39.00000000,0,39
133,obstacle,0.00000000,0,999
133,finish+obstacle,39.00000000,0,39
134,finish,39.00000000,0,39
134,obstacle,0.00000000,0,999
134,finish+obstacle,19.00000000,1,39
135,finish,39.00000000,0,39
135,obstacle,0.00000000,0,999
135,finish+obstacle,29.00000000,1,39
136,finish,39.00000000,0,39
136,obstacle,-110.00000000,11,999
136,finish+obstacle,19.00000000,2,39
137,finish,39.00000000,0,39
137,obstacle,-340.00000000,34,999
137,finish+obstacle,29.00000000,1,39
138,finish,39.00000000,0,39
138,obstacle,0.00000000,0,999
138,finish+obstacle,19.00000000,2,39
139,finish,39.00000000,0,39
139,obstacle,0.00000000,0,999
139,finish+obstacle,19.00000000,2,39
140,finish,39.00000000,0,39
140,obstacle,0.00000000,0,999
140,finish+obstacle,29.00000000,1,39
141,finish,39.00000000,0,39
141,obstacle,0.00000000,0,999
141,finish+obstacle,39.00000000,0,39
142,finish,39.00000000,0,39
142,obstacle,0.00000000,0,999
142,finish+obstacle,39.00000000,0,39
143,finish,39.00000000,0,39
143,obstacle,-70.00000000,7,999
143,finish+obstacle,29.00000000,1,39
144,finish,39.00000000,0,39
144,obstacle,0.00000000,0,999
144,finish+obstacle,19.00000000,2,39
145,finish,39.00000000,0,39
145,obstacle,0.00000000,0,999
145,finish+obstacle,39.00000000,0,39
146,finish,39.00000000,0,39
146,obstacle,0.00000000,0,999
146,finish+obstacle,-1.00000000,3,39
147,finish,39.00000000,0,39
147,obstacle,0.00000000,0,999
147,finish+obstacle,9.00000000,3,39
148,finish,39.00000000,0,39
148,obstacle,-90.00000000,9,999
148,finish+obstacle,9.00000000,2,39
149,finish,39.00000000,0,39
149,obstacle,0.00000000,0,999
149,finish+obstacle,39.00000000,0,39
150,finish,39.00000000,0,39
150,obstacle,0.00000000,0,999
150,finish+obstacle,29.00000000,1,39
151,finish,39.00000000,0,39
151,obstacle,0.00000000,0,999
151,finish+obstacle,19.00000000,2,39
152,finish,39.00000000,0,39
152,obstacle,-30.00000000,3,999
152,finish+obstacle,19.00000000,2,39
153,finish,39.00000000,0,39
153,obstacle,0.00000000,0,999
153,finish+obstacle,29.00000000,1,39
154,finish,39.00000000,0,39
154,obstacle,-40.00000000,4,999
154,finish+obstacle,19.00000000,2,39
155,finish,39.00000000,0,39
155,obstacle,-10.00000000,1,999
155,finish+obstacle,19.00000000,2,39
156,finish,39.00000000,0,39
156,obstacle,-40.00000000,4,999
156,finish+obstacle,29.00000000,1,39
157,finish,39.00000000,0,39
157,obstacle,-10.00000000,1,999
157,finish+obstacle,9.00000000,2,39
158,finish,39.00000000,0,39
158,obstacle,0.00000000,0,999
158,finish+obstacle,29.00000000,1,39
159,finish,39.00000000,0,39
159,obstacle,0.00000000,0,999
159,finish+obstacle,19.00000000,2,39
160,finish,39.00000000,0,39
160,obstacle,0.00000000,0,999
160,finish+obstacle,19.00000000,2,39
161,finish,39.00000000,0,39
161,obstacle,-20.00000000,2,999
161,finish+obstacle,29.00000000,1,39
162,finish,39.00000000,0,39
162,obstacle,0.00000000,0,999
162,finish+obstacle,29.00000000,1,39
163,finish,39.00000000,0,39
163,obstacle,-40.00000000,4,999
163,finish+obstacle,29.00000000,1,39
164,finish,39.00000000,0,39
164,obstacle,0.00000000,0,999
