obstacle	finish	combined
-0.17803561	0.00266193	-0.31768472
-0.24004801	1.00000000	-0.18825269
-0.38607722	1.00000000	-0.05201040
-0.32806561	1.00000000	-0.41208242
-0.27605521	1.00000000	-0.01000200
-0.42408482	1.00000000	-0.01621622
-0.27005401	0.97500000	-0.04071500
-0.18403681	1.00000000	-0.00200040
-0.28205641	0.95121951	0.01978022
-0.25205041	1.00000000	-0.16379310
-0.21604321	1.00000000	0.10431655
-0.52810562	1.00000000	0.41935484
-0.20404081	0.97500000	-0.01576994
-0.33806761	0.97500000	0.05696203
-0.59211842	0.92857143	0.51315789
-0.14402881	0.97500000	-0.01400280
-0.25805161	1.00000000	0.00000000
-0.26405281	1.00000000	0.03505535
-0.19803961	1.00000000	0.00000000
-0.12402480	0.97500000	-0.08005249
-0.25405081	1.00000000	0.00000000
-0.26405281	0.97500000	-0.10402080
-0.26205241	1.00000000	0.00000000
-0.30006001	0.97500000	-0.06272242
-0.34606921	1.00000000	-0.00653595
-0.31406281	0.97500000	0.54929577
-0.28205641	0.97500000	0.01629073
-0.14602921	1.00000000	0.37500000
-0.22604521	1.00000000	0.17592593
-0.28205641	0.95121951	0.07182320
-0.03400680	1.00000000	0.00000000
-0.15203041	1.00000000	0.57352941
-0.30406081	1.00000000	0.09931507
-0.19803961	1.00000000	0.72222222
-0.25405081	1.00000000	0.04945055
-0.27005401	0.97500000	0.56521739
-0.34606921	1.00000000	0.33928571
-0.35607121	0.95121951	0.72222222
-0.25005001	0.95121951	0.92857143
-0.18603721	0.95121951	0.10507246
-0.21404281	1.00000000	0.08529412
-0.09201840	1.00000000	0.00000000
-0.23204641	1.00000000	0.42647059
-0.25605121	1.00000000	0.07862903
-0.20204041	0.97500000	0.10924370
-0.49409882	1.00000000	0.04131356
-0.14002801	1.00000000	0.53424658
-0.14802961	0.95121951	0.01060071
-0.21804361	0.97500000	0.31707317
-0.19403881	0.95121951	0.00000000
-0.10002000	0.95121951	0.03155604
-0.12602521	1.00000000	0.58000000
-0.27205441	1.00000000	0.65909091
-0.21004201	1.00000000	0.00000000
-0.17803561	0.97500000	0.45238095
-0.14802961	1.00000000	0.23076923
-0.29005801	1.00000000	0.22500000
-0.12002400	1.00000000	0.06502242
-0.26605321	0.90697674	0.21951220
-0.15603121	1.00000000	-0.00465116
-0.15203041	1.00000000	0.18000000
-0.12802561	1.00000000	0.22500000
-0.10602120	1.00000000	1.00000000
-0.22404481	1.00000000	0.45238095
-0.14802961	0.95121951	-0.02564103
-0.16803361	1.00000000	0.65909091
-0.21204241	0.95121951	0.46341463
-0.14602921	1.00000000	0.74358974
-0.24004801	1.00000000	-0.02500000
-0.25405081	1.00000000	1.00000000
-0.11602320	1.00000000	0.46341463
-0.22204441	0.95121951	0.59183673
-0.13402681	0.97500000	0.15918367
-0.15203041	1.00000000	1.00000000
-0.14402881	1.00000000	0.97500000
-0.17803561	1.00000000	0.88636364
-0.24204841	1.00000000	0.20454545
-0.19803961	1.00000000	0.46341463
-0.14202841	1.00000000	0.74358974
-0.17403481	1.00000000	0.23076923
-0.18803761	1.00000000	0.48717949
-0.23004601	1.00000000	0.74358974
-0.26605321	1.00000000	1.00000000
-0.26205241	1.00000000	1.00000000
-0.20404081	1.00000000	0.48717949
-0.05801160	1.00000000	0.48717949
-0.03800760	0.95121951	0.74358974
-0.20204041	1.00000000	0.48717949
-0.37207441	0.95121951	0.21951220
-0.31406281	1.00000000	0.48717949
-0.21004201	1.00000000	0.48717949
-0.04600920	1.00000000	0.23076923
-0.19803961	1.00000000	0.74358974
-0.13802761	0.95121951	0.48717949
-0.08201640	1.00000000	0.21951220
-0.22604521	1.00000000	0.74358974
-0.25805161	0.97500000	0.48717949
-0.19603921	0.95121951	0.74358974
-0.29805961	1.00000000	0.74358974
-0.06401280	1.00000000	0.23076923
-0.60012002	1.00000000	0.74358974
-0.03200640	1.00000000	0.48717949
-0.06001200	1.00000000	1.00000000
-0.09401880	1.00000000	0.47500000
-0.13602721	1.00000000	-0.02564103
-0.12602521	1.00000000	0.23076923
-0.09401880	1.00000000	0.92857143
-0.17803561	0.97500000	0.97500000
-0.08001600	1.00000000	0.23076923
-0.09201840	0.95121951	0.70731707
-0.08601720	1.00000000	0.47500000
-0.03000600	1.00000000	0.48717949
-0.08401680	1.00000000	0.48717949
-0.51810362	1.00000000	1.00000000
-0.12802561	1.00000000	0.48717949
-0.02200440	1.00000000	0.23076923
-0.00400080	1.00000000	0.23076923
-0.06201240	1.00000000	0.95121951
-0.11002200	1.00000000	0.74358974
-0.14202841	0.95121951	0.97500000
-0.08601720	1.00000000	0.23076923
-0.18403681	0.97500000	0.21951220
-0.28205641	1.00000000	0.48717949
-0.05001000	1.00000000	0.22500000
