obstacle	finish	combined
-0.43043043	0.00225973	0.18000000
-0.03003003	0.85964912	0.90740741
-0.07007007	0.89090909	0.53703704
-0.19019019	0.92452830	0.59183673
-0.23023023	0.89090909	0.73584906
-0.02002002	0.92452830	0.96078431
-0.20020020	0.87500000	0.70909091
-0.06006006	0.94230769	0.73584906
-0.14014014	0.92452830	0.85964912
-0.07007007	0.87500000	0.66101695
-0.09009009	0.94230769	0.72222222
-0.02002002	0.90740741	0.37254902
-0.01001001	0.87500000	0.33333333
-0.08008008	0.98000000	0.90740741
-0.04004004	0.87500000	0.81666667
-0.05005005	0.84482759	0.96078431
0.00000000	0.90740741	0.73584906
-0.09009009	0.87500000	0.96078431
-0.03003003	0.96078431	0.92452830
-0.08008008	0.90740741	0.49152542
-0.12012012	0.89090909	0.35185185
-0.11011011	0.90740741	0.54716981
-0.09009009	0.92452830	0.72222222
-0.06006006	0.87500000	-0.01923077
-0.07007007	0.96078431	0.34545455
-0.10010010	1.00000000	0.56862745
-0.14014014	0.96078431	0.89090909
-0.11011011	0.92452830	0.76470588
-0.08008008	0.87500000	0.32758621
-0.11011011	0.89090909	0.92452830
-0.14014014	0.89090909	0.73584906
-0.10010010	0.96078431	0.52727273
-0.08008008	0.96078431	0.37254902
-0.19019019	0.96078431	0.38000000
-0.07007007	0.83050847	0.54716981
-0.11011011	0.94230769	0.73584906
-0.11011011	0.94230769	0.75000000
-0.09009009	0.85964912	0.89090909
-0.06006006	0.94230769	0.33333333
-0.20020020	0.90740741	0.73584906
-0.04004004	0.79032258	0.56862745
-0.17017017	0.96078431	0.50877193
-0.18018018	0.81666667	0.75000000
-0.10010010	0.90740741	0.79591837
-0.06006006	0.94230769	0.53703704
-0.12012012	0.89090909	0.76470588
-0.20020020	0.84482759	0.75000000
-0.12012012	0.90740741	0.78000000
-0.17017017	0.89090909	0.89090909
-0.02002002	0.84482759	0.55769231
-0.15015015	0.84482759	0.54716981
0.00000000	0.85964912	-0.01960784
0.00000000	0.84482759	0.70909091
-0.04004004	0.98000000	0.53703704
-0.34034034	0.98000000	0.35849057
-0.10010010	0.87500000	0.75000000
0.00000000	0.79032258	0.35849057
0.00000000	0.89090909	0.17307692
-0.10010010	0.89090909	0.35849057
0.00000000	0.90740741	0.76470588
0.00000000	0.94230769	0.16981132
0.00000000	0.96078431	0.92452830
-0.05005005	0.92452830	0.70909091
-0.09009009	0.81666667	0.35185185
-0.08008008	0.92452830	-0.21153846
-0.05005005	0.90740741	0.84482759
0.00000000	0.92452830	0.52727273
-0.06006006	0.83050847	0.16666667
-0.18018018	0.90740741	0.47540984
-0.04004004	0.84482759	0.65000000
-0.09009009	0.92452830	0.89090909
-0.10010010	0.87500000	0.17647059
-0.04004004	0.90740741	0.66101695
-0.26026026	0.83050847	0.69642857
-0.06006006	0.89090909	0.38000000
-0.08008008	0.85964912	0.51785714
-0.08008008	0.96078431	0.16666667
-0.07007007	0.94230769	0.34545455
-0.21021021	0.92452830	0.69642857
-0.04004004	0.94230769	0.90740741
-0.27027027	0.80327869	-0.01886792
-0.19019019	0.89090909	-0.20000000
0.00000000	0.83050847	0.76470588
-0.25025025	0.96078431	0.18000000
0.00000000	0.81666667	0.72222222
0.00000000	0.89090909	0.38000000
-0.06006006	0.92452830	0.96078431
0.00000000	0.89090909	0.33333333
0.00000000	0.89090909	-0.18333333
