epoch,module,reward,obstacles,time
0,Finish,79.00000000,693,20150
0,Obstacle,-3900.00000000,39,999
0,Finish + Obstacle,-1521.00000000,16,2483
1,Finish,79.00000000,3,80
1,Obstacle,-3900.00000000,39,999
1,Finish + Obstacle,-221.00000000,3,936
2,Finish,79.00000000,2,79
2,Obstacle,-3900.00000000,39,999
2,Finish + Obstacle,-421.00000000,5,3193
3,Finish,79.00000000,4,79
3,Obstacle,-1200.00000000,12,999
3,Finish + Obstacle,-1521.00000000,16,1501
4,Finish,79.00000000,1,79
4,Obstacle,-4300.00000000,43,999
4,Finish + Obstacle,-221.00000000,3,343
5,Finish,79.00000000,2,80
5,Obstacle,-3500.00000000,35,999
5,Finish + Obstacle,-121.00000000,2,350
6,Finish,79.00000000,1,80
6,Obstacle,-2100.00000000,21,999
6,Finish + Obstacle,-221.00000000,3,300
7,Finish,79.00000000,4,79
7,Obstacle,-2600.00000000,26,999
7,Finish + Obstacle,-21.00000000,1,376
8,Finish,79.00000000,2,80
8,Obstacle,-300.00000000,3,999
8,Finish + Obstacle,-221.00000000,3,550
9,Finish,79.00000000,2,80
9,Obstacle,-700.00000000,7,999
9,Finish + Obstacle,79.00000000,0,171
10,Finish,79.00000000,5,79
10,Obstacle,-9700.00000000,97,999
10,Finish + Obstacle,-21.00000000,1,285
11,Finish,79.00000000,2,79
11,Obstacle,0.00000000,0,999
11,Finish + Obstacle,-3700.00000000,37,9999
12,Finish,79.00000000,5,79
12,Obstacle,-1500.00000000,15,999
12,Finish + Obstacle,-121.00000000,2,125
13,Finish,79.00000000,3,79
13,Obstacle,-1900.00000000,19,999
13,Finish + Obstacle,-21.00000000,1,150
14,Finish,79.00000000,1,81
14,Obstacle,-1000.00000000,10,999
14,Finish + Obstacle,-300.00000000,3,9999
15,Finish,79.00000000,1,79
15,Obstacle,-700.00000000,7,999
15,Finish + Obstacle,-21.00000000,1,138
16,Finish,79.00000000,2,79
16,Obstacle,-2400.00000000,24,999
16,Finish + Obstacle,-21.00000000,1,985
17,Finish,79.00000000,0,79
17,Obstacle,-1800.00000000,18,999
17,Finish + Obstacle,-21.00000000,1,1571
18,Finish,79.00000000,3,81
18,Obstacle,-4100.00000000,41,999
18,Finish + Obstacle,79.00000000,0,487
19,Finish,79.00000000,1,79
19,Obstacle,0.00000000,0,999
19,Finish + Obstacle,-221.00000000,3,571
20,Finish,79.00000000,2,79
20,Obstacle,-3000.00000000,30,999
20,Finish + Obstacle,-21.00000000,1,108
21,Finish,79.00000000,3,80
21,Obstacle,-4000.00000000,40,999
21,Finish + Obstacle,79.00000000,0,106
22,Finish,79.00000000,0,81
22,Obstacle,-1700.00000000,17,999
22,Finish + Obstacle,-221.00000000,3,108
23,Finish,79.00000000,4,80
23,Obstacle,-500.00000000,5,999
23,Finish + Obstacle,79.00000000,0,89
24,Finish,79.00000000,2,81
24,Obstacle,-600.00000000,6,999
24,Finish + Obstacle,-21.00000000,1,84
