epoch,module,reward,obstacles,time
0,Finish,79.00000000,695,32647
0,Obstacle,-17.00000000,17,999
0,Finish + Obstacle,-312.00000000,312,9999
1,Finish,79.00000000,2,79
1,Obstacle,-2.00000000,2,999
1,Finish + Obstacle,-336.00000000,336,9999
2,Finish,79.00000000,3,79
2,Obstacle,-31.00000000,31,999
2,Finish + Obstacle,-41.00000000,120,8580
3,Finish,79.00000000,0,79
3,Obstacle,-61.00000000,61,999
3,Finish + Obstacle,-735.00000000,735,9999
4,Finish,79.00000000,0,80
4,Obstacle,-53.00000000,53,999
4,Finish + Obstacle,-238.00000000,317,9491
5,Finish,79.00000000,2,80
5,Obstacle,-17.00000000,17,999
5,Finish + Obstacle,-97.00000000,176,5972
6,Finish,79.00000000,1,79
6,Obstacle,0.00000000,0,999
6,Finish + Obstacle,-171.00000000,250,5918
7,Finish,79.00000000,4,80
7,Obstacle,-38.00000000,38,999
7,Finish + Obstacle,0.00000000,0,9999
8,Finish,79.00000000,2,81
8,Obstacle,-33.00000000,33,999
8,Finish + Obstacle,-209.00000000,209,9999
9,Finish,79.00000000,1,79
9,Obstacle,-10.00000000,10,999
9,Finish + Obstacle,-26.00000000,105,3363
10,Finish,79.00000000,4,79
10,Obstacle,-29.00000000,29,999
10,Finish + Obstacle,-272.00000000,272,9999
11,Finish,79.00000000,2,79
11,Obstacle,-20.00000000,20,999
11,Finish + Obstacle,-58.00000000,58,9999
12,Finish,79.00000000,2,79
12,Obstacle,-34.00000000,34,999
12,Finish + Obstacle,-140.00000000,140,9999
13,Finish,79.00000000,2,79
13,Obstacle,-54.00000000,54,999
13,Finish + Obstacle,-147.00000000,226,8264
14,Finish,79.00000000,0,82
14,Obstacle,-40.00000000,40,999
14,Finish + Obstacle,72.00000000,7,227
15,Finish,79.00000000,2,79
15,Obstacle,0.00000000,0,999
15,Finish + Obstacle,52.00000000,27,2415
16,Finish,79.00000000,2,81
16,Obstacle,-11.00000000,11,999
16,Finish + Obstacle,50.00000000,29,558
17,Finish,79.00000000,3,79
17,Obstacle,-6.00000000,6,999
17,Finish + Obstacle,25.00000000,54,714
18,Finish,79.00000000,2,79
18,Obstacle,-28.00000000,28,999
18,Finish + Obstacle,62.00000000,17,311
19,Finish,79.00000000,1,81
19,Obstacle,-15.00000000,15,999
19,Finish + Obstacle,76.00000000,3,349
20,Finish,79.00000000,1,81
20,Obstacle,-69.00000000,69,999
20,Finish + Obstacle,64.00000000,15,227
21,Finish,79.00000000,2,79
21,Obstacle,-34.00000000,34,999
21,Finish + Obstacle,69.00000000,10,297
22,Finish,79.00000000,2,80
22,Obstacle,-44.00000000,44,999
22,Finish + Obstacle,53.00000000,26,398
23,Finish,79.00000000,6,81
23,Obstacle,-2.00000000,2,999
23,Finish + Obstacle,71.00000000,8,928
24,Finish,79.00000000,3,79
24,Obstacle,0.00000000,0,999
24,Finish + Obstacle,78.00000000,1,1061
25,Finish,79.00000000,1,83
25,Obstacle,-47.00000000,47,999
