epoch,module,reward,obstacles,time
0,Finish,79.00000000,158,14358
0,Obstacle,-2200.00000000,22,999
0,Finish + Obstacle,-221.00000000,3,543
1,Finish,79.00000000,0,94
1,Obstacle,-3400.00000000,34,999
1,Finish + Obstacle,79.00000000,0,562
2,Finish,79.00000000,2,89
2,Obstacle,0.00000000,0,999
2,Finish + Obstacle,-21.00000000,1,82
3,Finish,79.00000000,2,90
3,Obstacle,-300.00000000,3,999
3,Finish + Obstacle,-21.00000000,1,91
4,Finish,79.00000000,1,86
4,Obstacle,-200.00000000,2,999
4,Finish + Obstacle,-21.00000000,1,90
5,Finish,79.00000000,2,82
5,Obstacle,-800.00000000,8,999
5,Finish + Obstacle,-121.00000000,2,84
6,Finish,79.00000000,0,83
6,Obstacle,-700.00000000,7,999
6,Finish + Obstacle,79.00000000,0,84
7,Finish,79.00000000,2,88
7,Obstacle,0.00000000,0,999
7,Finish + Obstacle,-21.00000000,1,82
8,Finish,79.00000000,0,84
8,Obstacle,-700.00000000,7,999
8,Finish + Obstacle,79.00000000,0,87
9,Finish,79.00000000,0,87
9,Obstacle,-400.00000000,4,999
9,Finish + Obstacle,-121.00000000,2,95
10,Finish,79.00000000,1,84
10,Obstacle,-300.00000000,3,999
10,Finish + Obstacle,-21.00000000,1,87
11,Finish,79.00000000,4,88
11,Obstacle,0.00000000,0,999
11,Finish + Obstacle,79.00000000,0,89
12,Finish,79.00000000,2,93
12,Obstacle,-300.00000000,3,999
12,Finish + Obstacle,79.00000000,0,86
13,Finish,79.00000000,1,84
13,Obstacle,-200.00000000,2,999
13,Finish + Obstacle,-21.00000000,1,87
14,Finish,79.00000000,2,92
14,Obstacle,0.00000000,0,999
14,Finish + Obstacle,79.00000000,0,87
15,Finish,79.00000000,1,86
15,Obstacle,-400.00000000,4,999
15,Finish + Obstacle,-121.00000000,2,92
16,Finish,79.00000000,3,85
16,Obstacle,-300.00000000,3,999
16,Finish + Obstacle,-21.00000000,1,87
17,Finish,79.00000000,0,85
17,Obstacle,-300.00000000,3,999
17,Finish + Obstacle,-21.00000000,1,86
18,Finish,79.00000000,2,90
18,Obstacle,0.00000000,0,999
18,Finish + Obstacle,-21.00000000,1,84
19,Finish,79.00000000,2,82
19,Obstacle,0.00000000,0,999
19,Finish + Obstacle,-21.00000000,1,88
20,Finish,79.00000000,0,102
20,Obstacle,-100.00000000,1,999
20,Finish + Obstacle,-21.00000000,1,86
21,Finish,79.00000000,2,87
21,Obstacle,-600.00000000,6,999
21,Finish + Obstacle,-21.00000000,1,84
22,Finish,79.00000000,3,86
22,Obstacle,-900.00000000,9,999
22,Finish + Obstacle,79.00000000,0,100
23,Finish,79.00000000,1,83
23,Obstacle,-600.00000000,6,999
23,Finish + Obstacle,-21.00000000,1,84
24,Finish,79.00000000,2,89
24,Obstacle,-400.00000000,4,999
24,Finish + Obstacle,-121.00000000,2,87
25,Finish,79.00000000,1,83
25,Obstacle,0.00000000,0,999
25,Finish + Obstacle,-121.00000000,2,94
26,Finish,79.00000000,0,93
26,Obstacle,0.00000000,0,999
26,Finish + Obstacle,-121.00000000,2,89
27,Finish,79.00000000,1,86
27,Obstacle,0.00000000,0,999
27,Finish + Obstacle,79.00000000,0,86
28,Finish,79.00000000,1,85
28,Obstacle,0.00000000,0,999
28,Finish + Obstacle,-21.00000000,1,88
29,Finish,79.00000000,2,89
29,Obstacle,0.00000000,0,999
29,Finish + Obstacle,-21.00000000,1,90
30,Finish,79.00000000,4,88
30,Obstacle,-100.00000000,1,999
30,Finish + Obstacle,-121.00000000,2,85
31,Finish,79.00000000,2,91
31,Obstacle,0.00000000,0,999
31,Finish + Obstacle,79.00000000,0,90
32,Finish,79.00000000,2,96
32,Obstacle,0.00000000,0,999
32,Finish + Obstacle,-21.00000000,1,86
33,Finish,79.00000000,0,81
33,Obstacle,-300.00000000,3,999
33,Finish + Obstacle,-121.00000000,2,81
34,Finish,79.00000000,3,84
34,Obstacle,0.00000000,0,999
34,Finish + Obstacle,-221.00000000,3,89
35,Finish,79.00000000,0,86
35,Obstacle,0.00000000,0,999
35,Finish + Obstacle,-121.00000000,2,92
36,Finish,79.00000000,0,93
36,Obstacle,0.00000000,0,999
36,Finish + Obstacle,79.00000000,0,89
37,Finish,79.00000000,1,88
37,Obstacle,0.00000000,0,999
37,Finish + Obstacle,-221.00000000,3,94
