epoch,module,reward,obstacles,time
0,Finish,79.00000000,168,29181
0,Obstacle,-170.00000000,17,999
0,Finish + Obstacle,-1190.00000000,119,9999
1,Finish,79.00000000,2,87
1,Obstacle,-80.00000000,8,999
1,Finish + Obstacle,79.00000000,0,244
2,Finish,79.00000000,1,82
2,Obstacle,0.00000000,0,999
2,Finish + Obstacle,49.00000000,3,81
3,Finish,79.00000000,0,85
3,Obstacle,0.00000000,0,999
3,Finish + Obstacle,69.00000000,1,82
4,Finish,79.00000000,3,92
4,Obstacle,-60.00000000,6,999
4,Finish + Obstacle,79.00000000,0,84
5,Finish,79.00000000,2,94
5,Obstacle,0.00000000,0,999
5,Finish + Obstacle,69.00000000,1,84
6,Finish,79.00000000,1,96
6,Obstacle,-60.00000000,6,999
6,Finish + Obstacle,59.00000000,2,90
7,Finish,79.00000000,1,94
7,Obstacle,-20.00000000,2,999
7,Finish + Obstacle,69.00000000,1,89
8,Finish,79.00000000,1,84
8,Obstacle,-80.00000000,8,999
8,Finish + Obstacle,69.00000000,1,81
9,Finish,79.00000000,3,81
9,Obstacle,-300.00000000,30,999
9,Finish + Obstacle,59.00000000,2,83
10,Finish,79.00000000,3,90
10,Obstacle,-120.00000000,12,999
10,Finish + Obstacle,69.00000000,1,83
11,Finish,79.00000000,0,83
11,Obstacle,-80.00000000,8,999
11,Finish + Obstacle,69.00000000,1,83
12,Finish,79.00000000,0,93
12,Obstacle,-50.00000000,5,999
12,Finish + Obstacle,59.00000000,2,93
13,Finish,79.00000000,1,88
13,Obstacle,-140.00000000,14,999
13,Finish + Obstacle,49.00000000,3,84
14,Finish,79.00000000,0,94
14,Obstacle,-150.00000000,15,999
14,Finish + Obstacle,49.00000000,3,83
15,Finish,79.00000000,0,85
15,Obstacle,-50.00000000,5,999
15,Finish + Obstacle,79.00000000,0,89
16,Finish,79.00000000,1,83
16,Obstacle,0.00000000,0,999
16,Finish + Obstacle,69.00000000,1,92
17,Finish,79.00000000,1,88
17,Obstacle,-30.00000000,3,999
17,Finish + Obstacle,79.00000000,0,90
18,Finish,79.00000000,1,87
18,Obstacle,-270.00000000,27,999
18,Finish + Obstacle,59.00000000,2,86
19,Finish,79.00000000,3,92
19,Obstacle,-90.00000000,9,999
19,Finish + Obstacle,59.00000000,2,85
20,Finish,79.00000000,3,90
20,Obstacle,-20.00000000,2,999
20,Finish + Obstacle,79.00000000,0,85
21,Finish,79.00000000,1,89
21,Obstacle,-30.00000000,3,999
21,Finish + Obstacle,69.00000000,1,87
22,Finish,79.00000000,2,89
22,Obstacle,-100.00000000,10,999
22,Finish + Obstacle,49.00000000,3,90
23,Finish,79.00000000,1,92
23,Obstacle,-90.00000000,9,999
23,Finish + Obstacle,79.00000000,0,83
24,Finish,79.00000000,5,87
24,Obstacle,-40.00000000,4,999
24,Finish + Obstacle,39.00000000,4,88
25,Finish,79.00000000,3,88
25,Obstacle,-250.00000000,25,999
25,Finish + Obstacle,59.00000000,2,89
26,Finish,79.00000000,1,86
26,Obstacle,-10.00000000,1,999
26,Finish + Obstacle,79.00000000,0,84
27,Finish,79.00000000,0,86
27,Obstacle,-70.00000000,7,999
27,Finish + Obstacle,69.00000000,1,93
28,Finish,79.00000000,0,88
28,Obstacle,-50.00000000,5,999
28,Finish + Obstacle,69.00000000,1,87
29,Finish,79.00000000,1,92
29,Obstacle,-80.00000000,8,999
29,Finish + Obstacle,29.00000000,5,86
30,Finish,79.00000000,1,86
30,Obstacle,-40.00000000,4,999
30,Finish + Obstacle,59.00000000,2,94
31,Finish,79.00000000,4,92
31,Obstacle,-40.00000000,4,999
31,Finish + Obstacle,49.00000000,3,88
32,Finish,79.00000000,1,93
32,Obstacle,-20.00000000,2,999
32,Finish + Obstacle,59.00000000,2,96
33,Finish,79.00000000,3,85
33,Obstacle,-80.00000000,8,999
33,Finish + Obstacle,69.00000000,1,92
34,Finish,79.00000000,3,85
34,Obstacle,-20.00000000,2,999
34,Finish + Obstacle,59.00000000,2,88
35,Finish,79.00000000,1,86
35,Obstacle,-50.00000000,5,999
35,Finish + Obstacle,69.00000000,1,88
36,Finish,79.00000000,2,87
36,Obstacle,-20.00000000,2,999
36,Finish + Obstacle,79.00000000,0,90
37,Finish,79.00000000,1,89
37,Obstacle,-10.00000000,1,999
37,Finish + Obstacle,69.00000000,1,86
38,Finish,79.00000000,0,86
38,Obstacle,-140.00000000,14,999
38,Finish + Obstacle,79.00000000,0,89
39,Finish,79.00000000,3,92
39,Obstacle,0.00000000,0,999
39,Finish + Obstacle,79.00000000,0,88
40,Finish,79.00000000,2,91
40,Obstacle,-80.00000000,8,999
40,Finish + Obstacle,69.00000000,1,96
41,Finish,79.00000000,0,92
41,Obstacle,-120.00000000,12,999
41,Finish + Obstacle,79.00000000,0,98
42,Finish,79.00000000,2,86
42,Obstacle,-40.00000000,4,999
42,Finish + Obstacle,69.00000000,1,90
43,Finish,79.00000000,3,89
43,Obstacle,-170.00000000,17,999
43,Finish + Obstacle,49.00000000,3,83
44,Finish,79.00000000,1,88
44,Obstacle,0.00000000,0,999
44,Finish + Obstacle,49.00000000,3,85
45,Finish,79.00000000,2,89
45,Obstacle,-40.00000000,4,999
45,Finish + Obstacle,59.00000000,2,98
46,Finish,79.00000000,1,86
46,Obstacle,-80.00000000,8,999
46,Finish + Obstacle,69.00000000,1,85
47,Finish,79.00000000,3,89
47,Obstacle,-70.00000000,7,999
47,Finish + Obstacle,59.00000000,2,89
48,Finish,79.00000000,2,82
48,Obstacle,-130.00000000,13,999
48,Finish + Obstacle,69.00000000,1,85
49,Finish,79.00000000,1,86
49,Obstacle,-30.00000000,3,999
49,Finish + Obstacle,59.00000000,2,85
50,Finish,79.00000000,1,93
50,Obstacle,-50.00000000,5,999
50,Finish + Obstacle,79.00000000,0,87
51,Finish,79.00000000,2,82
51,Obstacle,-200.00000000,20,999
51,Finish + Obstacle,49.00000000,3,91
52,Finish,79.00000000,3,88
52,Obstacle,-220.00000000,22,999
52,Finish + Obstacle,59.00000000,2,85
53,Finish,79.00000000,3,80
53,Obstacle,-230.00000000,23,999
53,Finish + Obstacle,79.00000000,0,84
54,Finish,79.00000000,0,82
54,Obstacle,-30.00000000,3,999
54,Finish + Obstacle,49.00000000,3,84
55,Finish,79.00000000,1,82
55,Obstacle,-50.00000000,5,999
55,Finish + Obstacle,79.00000000,0,89
56,Finish,79.00000000,1,82
56,Obstacle,-90.00000000,9,999
56,Finish + Obstacle,59.00000000,2,87
57,Finish,79.00000000,1,89
57,Obstacle,0.00000000,0,999
57,Finish + Obstacle,69.00000000,1,85
58,Finish,79.00000000,1,80
58,Obstacle,-30.00000000,3,999
58,Finish + Obstacle,69.00000000,1,89
59,Finish,79.00000000,4,88
59,Obstacle,0.00000000,0,999
59,Finish + Obstacle,49.00000000,3,86
60,Finish,79.00000000,1,86
60,Obstacle,-120.00000000,12,999
60,Finish + Obstacle,69.00000000,1,89
61,Finish,79.00000000,1,87
61,Obstacle,-100.00000000,10,999
61,Finish + Obstacle,59.00000000,2,84
62,Finish,79.00000000,0,85
62,Obstacle,-30.00000000,3,999
62,Finish + Obstacle,59.00000000,2,82
63,Finish,79.00000000,1,87
63,Obstacle,-40.00000000,4,999
63,Finish + Obstacle,49.00000000,3,91
64,Finish,79.00000000,0,86
64,Obstacle,0.00000000,0,999
64,Finish + Obstacle,59.00000000,2,88
