iteration,best_fitness,best_length,worst_fitness,worst_length
0,746,26,1653,36
1,694,44,1662,36
2,681,28,1608,48
3,682,28,1674,42
4,689,28,1645,42
5,683,28,1663,40
6,622,28,1437,33
7,643,31,1506,17
8,634,31,1670,37
9,614,31,1696,20
10,616,31,1504,28
11,598,31,1614,17
12,610,31,1471,30
13,607,31,1587,25
14,587,16,1581,25
15,504,39,1563,25
16,570,39,1591,25
17,578,39,1604,24
18,574,30,1618,24
19,545,30,1609,24
20,524,31,1452,22
21,487,31,1397,29
22,479,31,1363,48
23,473,33,1283,30
24,488,31,1236,22
25,521,31,1213,28
26,556,35,1144,45
27,602,27,1469,30
28,555,35,1237,20
29,557,35,1191,31
30,546,35,1224,41
31,530,34,1284,44
32,508,34,1160,26
33,525,34,1227,22
34,521,40,1295,21
35,462,36,1364,21
36,467,36,1408,26
37,491,36,1341,26
38,465,36,1251,22
39,484,36,1256,30
40,472,36,1221,34
41,472,36,1292,33
42,452,36,1284,33
43,457,36,1205,16
44,469,36,1148,37
45,487,36,1380,28
46,466,36,1169,30
47,458,36,1420,27
48,437,36,1127,30
49,465,36,1145,43
50,489,36,1129,43
51,492,41,1203,35
52,489,42,1396,31
53,476,42,1382,31
54,463,42,1400,31
55,472,42,1375,31
56,447,42,1349,32
57,485,42,1305,32
58,484,40,1280,33
59,488,41,1175,48
60,521,41,1114,30
61,473,41,1107,48
62,442,41,1143,48
63,437,41,1201,42
64,425,41,1173,42
65,419,44,1251,34
66,423,44,1185,18
67,448,39,1142,34
68,455,39,1291,26
69,472,39,1355,26
70,474,39,1165,40
71,452,46,1109,45
72,447,46,1141,31
73,451,46,1270,28
74,412,46,1320,28
75,413,46,1324,28
76,417,46,1335,28
77,391,46,1243,38
78,399,46,1244,38
79,400,46,1263,38
80,396,45,1139,35
81,370,43,1147,35
82,351,43,1034,51
83,351,43,1101,29
84,344,43,1203,45
85,372,43,1101,26
86,371,44,1040,28
87,331,44,1025,51
88,355,44,1051,23
89,351,44,1068,23
90,334,44,1071,23
91,339,42,1092,39
92,374,45,1079,23
93,347,46,1155,53
94,362,46,1138,39
95,364,46,1164,39
96,386,46,1286,25
97,361,46,1367,28
98,355,46,1289,30
99,373,46,1254,27
100,380,46,1113,31
101,369,46,1074,31
102,365,53,1043,36
103,379,53,1016,36
104,375,53,1034,32
105,394,53,994,32
106,364,53,1085,38
107,392,53,991,34
108,384,53,1145,32
109,394,53,1132,34
110,399,53,1140,28
111,405,53,1173,31
112,420,53,1181,34
113,419,53,1190,34
114,398,48,1158,39
115,422,48,1073,49
116,400,48,1067,49
117,409,48,1056,44
118,384,52,1364,35
119,440,52,997,35
120,384,52,979,37
121,381,52,1073,39
122,401,52,1077,37
123,385,52,1119,34
124,353,52,1087,49
125,368,52,1085,49
126,391,52,1081,41
127,413,52,1103,41
128,365,63,1367,48
129,341,63,1123,41
130,341,63,1211,24
131,350,63,1264,24
132,340,63,1275,24
133,345,63,1082,41
134,324,63,1053,42
135,304,63,1158,51
136,292,63,1116,51
137,297,63,1045,57
138,281,69,941,51
139,289,69,1086,44
140,301,69,1105,44
141,293,69,1047,55
142,302,71,1104,46
143,310,69,1102,46
144,271,65,1152,52
145,284,71,1154,52
146,289,66,1179,52
147,259,71,1205,52
148,213,76,1198,52
149,228,76,1178,52
150,242,77,1077,52
151,220,80,1056,54
152,232,80,1092,75
153,228,80,991,45
154,212,80,963,45
155,208,80,969,62
156,229,80,1028,42
157,217,77,1075,59
158,222,77,1165,59
159,231,77,1088,59
160,231,77,1041,44
161,231,77,939,49
162,236,81,1005,54
163,246,81,997,59
164,225,84,1087,64
165,237,80,982,49
166,222,80,1151,44
167,228,89,1154,60
168,222,84,1195,69
169,232,89,1200,69
170,224,89,1162,69
171,209,77,1141,50
172,197,77,1088,82
173,218,89,1000,61
174,193,77,1082,63
175,206,92,1076,63
176,217,73,1075,81
177,212,92,973,79
178,204,92,982,79
179,201,92,969,57
180,192,85,997,80
181,188,85,1190,64
182,191,85,1150,56
183,189,85,1118,56
184,192,85,1035,79
185,180,92,1128,68
186,182,92,1103,68
187,196,92,1125,68
188,204,92,1112,68
189,183,88,1133,68
190,187,88,1017,97
191,189,88,1176,77
192,188,88,1164,77
193,179,88,963,74
194,195,88,869,93
195,178,88,1142,65
196,179,88,1144,65
197,193,88,1169,65
198,207,88,1063,75
199,196,88,1066,75
200,194,88,888,65
201,177,100,1201,84
202,183,100,1048,89
203,169,100,1047,89
204,153,100,1036,89
205,158,100,1051,89
206,160,100,973,79
207,145,100,967,84
208,160,98,1110,83
209,142,96,1075,71
210,154,96,1073,71
211,156,102,1101,71
212,179,102,1104,71
213,162,125,1099,95
214,161,125,1104,95
215,148,125,1037,113
216,131,125,1017,94
217,136,125,935,69
218,137,125,878,86
219,142,125,1237,112
220,139,125,1042,111
221,145,125,1022,111
222,144,125,854,113
223,143,125,1061,112
224,136,125,1042,108
225,131,125,1107,108
226,137,125,1084,126
227,135,125,1001,91
228,143,125,925,86
229,151,125,891,118
230,150,125,985,105
231,147,125,987,120
232,129,125,966,96
233,126,125,941,116
234,126,125,979,88
235,139,125,1015,106
236,122,125,993,89
237,136,125,1005,89
238,140,152,958,113
239,143,152,1072,114
240,145,152,1062,114
241,151,152,1057,114
242,145,152,931,66
243,150,152,1170,136
244,148,152,920,81
245,144,152,841,98
246,137,152,1018,78
247,129,152,1026,64
248,127,151,1086,97
249,137,151,1096,85
250,139,151,969,123
251,141,151,900,94
252,137,145,1007,126
253,126,145,1064,102
254,124,142,1135,106
255,124,151,1089,110
256,126,151,936,99
257,128,151,890,86
258,120,117,880,86
259,128,121,902,83
260,122,141,857,109
261,124,141,845,109
262,118,141,1096,117
263,114,141,1081,117
264,118,141,1079,117
265,99,144,907,134
266,98,144,923,90
267,109,144,1121,145
268,111,144,1133,145
269,97,144,1136,145
270,83,144,1045,129
271,81,155,1042,125
272,92,144,1034,125
273,91,144,1011,141
274,86,144,814,109
275,89,144,806,109
276,80,144,1180,137
277,75,144,930,105
278,75,144,1126,156
279,87,144,1130,156
280,88,144,1120,156
281,90,144,1163,156
282,90,144,1020,162
283,91,144,895,164
284,92,144,1253,107
285,79,144,1247,99
286,69,144,1252,99
287,88,144,1270,99
288,92,144,1268,99
289,90,144,878,138
290,106,144,867,126
291,101,144,991,138
292,96,144,1008,138
293,105,144,1015,138
294,111,144,1017,138
295,112,144,1113,111
296,118,144,1007,129
297,119,144,1011,129
298,109,144,1017,136
299,90,152,946,147
300,96,152,985,117
301,109,152,999,117
302,100,152,1090,121
303,90,152,1028,136
304,92,162,1046,122
305,87,152,1074,153
306,81,153,1076,122
307,67,152,1083,153
308,74,152,1116,123
309,64,152,1112,123
310,75,152,1118,123
311,59,152,1069,163
312,64,152,1064,163
313,77,177,1072,163
314,73,177,1076,163
315,60,153,1079,163
316,69,153,1589,197
317,72,153,1596,197
318,82,152,1559,197
319,78,153,965,176
320,73,152,995,176
321,77,152,994,176
322,76,154,1074,144
323,63,154,926,161
324,61,154,874,121
325,71,167,878,152
326,53,166,1002,152
327,53,166,1421,139
328,53,166,1458,137
329,63,166,1108,122
330,81,166,1094,124
331,71,166,745,172
332,68,166,793,167
333,71,166,1168,144
334,59,166,963,164
335,64,154,941,164
336,69,166,996,150
337,67,166,1030,105
338,74,166,1025,105
339,61,166,1015,106
340,61,166,1046,106
341,64,166,953,212
342,70,166,962,207
343,64,166,956,207
344,63,166,1049,150
345,66,166,1051,150
346,84,166,879,226
347,81,166,725,140
348,76,166,726,181
349,66,166,1053,164
350,73,166,1000,175
351,76,166,988,175
352,86,146,984,175
353,86,146,970,175
354,101,166,879,156
355,95,163,1047,162
356,100,166,791,167
357,91,166,836,134
358,85,166,883,272
359,76,166,858,194
360,75,166,859,194
361,71,166,1007,191
362,71,166,1161,193
363,80,149,1171,193
364,78,166,1092,166
365,68,166,980,132
366,81,166,1037,142
367,76,169,974,227
368,79,169,973,163
369,67,188,1112,224
370,69,188,1111,222
371,71,188,1113,222
372,81,188,706,192
373,83,188,937,161
374,84,188,962,195
375,87,188,980,147
376,96,188,782,132
377,83,188,733,231
378,76,188,650,227
379,72,188,1034,172
380,64,211,1044,187
381,70,211,1050,187
382,64,211,949,236
383,61,212,929,225
384,67,212,928,225
385,84,212,864,195
386,74,212,895,244
387,58,232,1196,216
388,73,232,995,219
389,62,232,1355,172
390,69,232,1359,172
391,53,232,1411,177
392,60,232,1064,124
393,62,232,1033,239
394,59,232,1005,232
395,59,232,1169,229
396,48,232,993,162
397,46,232,982,192
398,49,232,1003,192
399,50,232,909,177
400,53,232,1069,177
401,60,232,1068,177
402,70,232,1092,177
403,74,212,1098,177
404,69,212,1087,177
405,57,212,1026,176
406,56,212,942,156
407,68,212,929,168
408,67,212,821,203
409,71,203,1119,206
410,59,241,772,230
411,55,241,770,167
412,53,203,977,196
413,54,203,915,171
414,65,203,1036,183
415,62,203,1234,216
416,60,203,1243,169
417,57,248,927,176
418,48,248,1049,246
419,50,248,1087,159
420,44,248,949,172
421,41,248,925,211
422,42,248,973,147
423,26,232,1081,207
424,23,232,944,249
425,24,232,958,249
426,28,232,956,249
427,27,232,1050,294
428,24,232,1078,282
429,28,232,978,238
430,34,232,963,250
431,37,232,1157,326
432,37,232,729,193
433,35,232,742,193
434,39,232,1012,233
435,39,232,944,200
436,46,232,981,160
437,52,232,735,260
438,42,232,577,201
439,45,232,913,180
440,46,232,1137,228
441,46,232,854,233
442,47,232,1020,166
443,57,232,1017,264
444,55,232,1021,264
445,54,232,1063,187
446,54,232,806,156
447,54,232,801,156
448,50,232,1109,217
449,44,232,1113,217
450,45,232,787,166
451,44,232,686,219
452,49,232,710,215
453,40,232,766,189
454,38,232,707,215
455,25,230,1087,215
456,25,232,1086,203
457,25,232,1220,284
458,24,232,1230,240
459,23,232,1092,236
460,23,232,1099,236
461,27,232,1115,236
462,25,232,1356,215
463,32,232,1041,195
464,37,232,1253,201
465,28,232,1250,201
466,29,232,1303,201
467,31,232,654,229
468,30,232,679,170
469,33,232,684,244
470,33,232,1368,311
471,33,232,1121,178
472,39,232,1022,172
473,34,232,909,189
474,37,232,917,282
475,39,232,758,231
476,38,232,660,202
477,39,232,991,180
478,34,232,992,180
479,32,232,990,180
480,31,232,979,180
481,32,232,1322,164
482,32,232,1009,180
483,37,232,1105,230
484,34,232,1176,201
485,44,232,1200,201
486,44,232,1296,210
487,54,232,1220,192
488,57,232,1114,380
489,52,232,1098,400
490,52,232,1098,361
491,52,232,1064,292
492,39,232,1034,395
493,39,232,961,211
494,38,235,1086,293
495,32,235,1094,283
496,32,235,1022,329
497,32,235,859,220
498,44,235,1067,266
499,48,235,1069,305
500,52,235,950,208
501,47,239,1015,362
502,38,239,943,208
503,34,239,938,208
504,28,239,1056,333
505,23,239,1052,333
506,20,239,664,252
507,18,239,658,252
508,27,239,1064,207
509,24,239,1066,207
510,21,239,1099,208
511,19,239,784,309
512,25,239,509,242
513,25,239,554,236
514,34,239,775,288
515,34,239,761,280
516,28,239,1056,279
517,23,239,989,273
518,26,239,693,174
519,32,239,766,247
520,30,239,917,316
521,29,239,956,284
522,24,239,954,284
523,32,239,812,247
524,32,256,578,267
525,27,239,655,216
526,19,250,908,270
527,14,250,993,236
528,20,250,1007,236
529,22,262,1243,223
530,25,250,1033,302
531,17,250,563,229
532,18,250,596,268
533,22,250,524,314
534,28,250,1314,263
535,25,250,1018,404
536,26,250,1013,404
537,31,250,799,419
538,35,250,1311,300
539,39,250,1312,300
540,35,250,1312,300
541,30,250,1069,263
542,32,250,1025,453
543,32,250,1028,408
544,35,250,826,266
545,39,250,916,426
546,32,250,618,213
547,26,250,737,348
548,17,250,776,328
549,12,250,1107,254
550,10,250,1110,254
551,11,250,1222,459
552,9,250,1323,438
553,8,250,1117,284
554,7,250,837,331
555,7,250,796,396
556,10,250,815,273
557,14,250,796,309
558,15,250,1090,249
559,15,250,1054,232
560,11,250,582,405
561,11,250,847,285
562,5,250,849,285
563,12,250,565,416
564,10,250,648,366
565,12,250,639,366
566,9,250,819,394
567,5,250,1005,381
568,12,250,1271,218
569,10,250,1285,218
570,10,250,1284,218
571,6,250,1027,442
572,2,250,1021,442
573,1,250,1024,442
574,1,250,853,208
575,4,250,931,363
576,5,250,675,256
577,10,250,966,185
578,12,250,605,338
579,8,250,605,338
580,14,250,1111,359
581,17,250,833,250
582,14,250,926,261
583,21,250,934,261
584,21,250,934,261
585,26,250,938,261
586,24,250,999,334
587,23,250,878,307
588,31,250,875,307
589,31,250,793,343
590,28,250,856,310
591,5,276,751,247
592,6,276,777,379
593,4,276,668,338
594,8,276,525,280
595,10,276,442,265
596,7,276,1354,248
597,4,276,1356,248
598,3,276,779,562
599,2,276,669,241
600,3,276,785,282
601,3,276,991,226
602,2,276,775,241
603,2,276,844,277
604,2,276,960,311
